!18F (1+, 3+, 5+) -> 18O    e-capture   with screening effects
!USDB ,   GT,    Q (18F-18O) = 1.6559 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.000000e+07 1.000000e+07 1.956582e-06 4.143237e-08 1.111913e-08 1.450107e-02 4.951210e-08 1.296914e-13
1.000000e+07 1.584893e+07 1.954820e-06 4.116000e-08 1.111913e-08 1.410263e-02 4.802986e-08 1.205345e-13
1.000000e+07 2.511886e+07 1.952096e-06 4.080752e-08 1.111913e-08 1.384841e-02 4.707727e-08 1.147126e-13
1.000000e+07 3.981072e+07 1.949853e-06 4.032687e-08 1.111913e-08 1.380702e-02 4.693657e-08 1.139754e-13
1.000000e+07 6.309573e+07 1.948251e-06 3.968600e-08 1.111913e-08 1.383885e-02 4.705560e-08 1.150036e-13
1.000000e+07 1.000000e+08 1.947450e-06 3.886889e-08 1.111913e-08 1.386756e-02 4.718580e-08 1.163352e-13
1.000000e+07 1.122018e+08 1.947290e-06 3.861254e-08 1.111913e-08 1.387395e-02 4.721840e-08 1.167646e-13
1.000000e+07 1.258925e+08 1.947129e-06 3.835619e-08 1.111913e-08 1.388034e-02 4.724015e-08 1.172226e-13
1.000000e+07 1.412538e+08 1.946969e-06 3.808382e-08 1.111913e-08 1.388673e-02 4.727280e-08 1.177366e-13
1.000000e+07 1.584893e+08 1.946809e-06 3.779543e-08 1.111913e-08 1.389633e-02 4.730546e-08 1.183617e-13
1.000000e+07 1.778279e+08 1.946488e-06 3.747499e-08 1.111913e-08 1.390273e-02 4.734905e-08 1.190725e-13
1.000000e+07 1.995262e+08 1.946328e-06 3.715455e-08 1.111913e-08 1.390913e-02 4.739268e-08 1.199531e-13
1.000000e+07 2.238721e+08 1.945848e-06 3.680207e-08 1.111913e-08 1.391874e-02 4.742543e-08 1.209515e-13
1.000000e+07 2.511886e+08 1.945367e-06 3.643357e-08 1.111913e-08 1.392836e-02 4.749100e-08 1.222394e-13
1.000000e+07 2.818383e+08 1.944886e-06 3.603303e-08 1.111913e-08 1.394119e-02 4.755666e-08 1.237973e-13
1.000000e+07 3.162278e+08 1.944085e-06 3.563248e-08 1.111913e-08 1.395404e-02 4.762240e-08 1.256641e-13
1.000000e+07 3.548134e+08 1.943124e-06 3.518387e-08 1.111913e-08 1.397012e-02 4.771021e-08 1.279709e-13
1.000000e+07 3.981072e+08 1.942002e-06 3.473526e-08 1.111913e-08 1.398943e-02 4.783120e-08 1.308915e-13
1.000000e+07 4.466836e+08 1.940560e-06 3.425461e-08 1.111913e-08 1.401522e-02 4.797459e-08 1.345276e-13
1.000000e+07 5.011872e+08 1.938798e-06 3.374191e-08 1.111913e-08 1.404430e-02 4.814058e-08 1.390309e-13
1.000000e+07 5.623413e+08 1.936395e-06 3.321319e-08 1.111913e-08 1.408316e-02 4.835165e-08 1.447476e-13
1.000000e+07 6.309573e+08 1.933511e-06 3.266845e-08 1.111913e-08 1.412863e-02 4.860840e-08 1.525146e-13
1.000000e+07 7.079458e+08 1.929826e-06 3.209167e-08 1.111913e-08 1.418404e-02 4.893407e-08 1.653527e-13
1.000000e+07 7.943282e+08 1.925340e-06 3.148284e-08 1.111913e-08 1.425279e-02 4.933002e-08 1.969751e-13
1.000000e+07 8.912509e+08 1.919412e-06 3.085799e-08 1.111913e-08 1.434168e-02 4.983234e-08 2.982712e-13
1.000000e+07 1.000000e+09 1.912042e-06 3.020109e-08 1.111913e-08 1.444442e-02 5.044421e-08 6.334485e-13
1.000000e+07 1.122018e+09 1.902909e-06 2.952818e-08 1.111913e-08 1.457471e-02 5.120487e-08 1.654670e-12
1.000000e+07 1.258925e+09 1.891213e-06 2.883924e-08 1.111913e-08 1.473669e-02 5.216886e-08 4.450526e-12
1.000000e+07 1.412538e+09 1.876633e-06 2.811826e-08 1.111913e-08 1.493138e-02 5.333488e-08 1.133734e-11
