!28Mg (0+, 2+) -> 28Na,  e-capture,  with screening effects
!USDB   Q=-14.030 MeV
!Exp. energies, B(GT)
!Log(rhoY) Log(T) mu     dQ       Vs         e-cap-rate    nu-energy-loss  gamma-energy
!                     (MeV)   (MeV)   (MeV)        (1/s)              (MeV/s)        (MeV/s)  
1.000000e+07 1.000000e+07 1.952897e-06 5.094932e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 1.951135e-06 5.072502e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 1.948411e-06 5.040458e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 3.981072e+07 1.946008e-06 4.997199e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 6.309573e+07 1.944566e-06 4.939521e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.000000e+08 1.943765e-06 4.864218e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.122018e+08 1.943605e-06 4.841788e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.258925e+08 1.943444e-06 4.817755e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.412538e+08 1.943284e-06 4.792120e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+08 1.942964e-06 4.764883e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.778279e+08 1.942803e-06 4.736044e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.995262e+08 1.942483e-06 4.705603e-08 1.483619e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.238721e+08 1.942163e-06 4.671957e-08 1.483619e-08 1.071519e-305 1.010907e-312 2.598432e-317
1.000000e+07 2.511886e+08 1.941682e-06 4.636709e-08 1.483619e-08 6.165950e-273 6.526965e-280 1.926244e-284
1.000000e+07 2.818383e+08 1.941201e-06 4.599859e-08 1.483619e-08 1.000000e-243 1.160677e-250 3.843362e-255
1.000000e+07 3.162278e+08 1.940400e-06 4.559804e-08 1.483619e-08 1.096478e-217 1.461206e-224 5.184553e-229
1.000000e+07 3.548134e+08 1.939439e-06 4.518148e-08 1.483619e-08 1.862087e-194 2.784270e-201 1.058550e-205
1.000000e+07 3.981072e+08 1.938317e-06 4.473287e-08 1.483619e-08 9.772372e-174 1.639500e-180 6.526965e-185
1.000000e+07 4.466836e+08 1.936875e-06 4.426823e-08 1.483619e-08 2.951209e-155 5.555348e-162 2.263139e-166
1.000000e+07 5.011872e+08 1.934953e-06 4.377156e-08 1.483619e-08 9.120108e-139 1.882397e-145 8.029922e-150
1.000000e+07 5.623413e+08 1.932710e-06 4.325886e-08 1.483619e-08 4.677351e-124 1.083207e-130 4.620738e-135
1.000000e+07 6.309573e+08 1.929826e-06 4.269810e-08 1.483619e-08 6.165950e-111 1.639500e-117 6.993769e-122
1.000000e+07 7.079458e+08 1.926141e-06 4.212131e-08 1.483619e-08 3.176874e-99 9.390988e-106 4.412770e-110
1.000000e+07 7.943282e+08 1.921655e-06 4.151248e-08 1.483619e-08 8.994976e-89 2.990276e-95 1.764864e-99
1.000000e+07 8.912509e+08 1.915727e-06 4.088763e-08 1.483619e-08 1.923092e-79 7.173173e-86 6.482034e-90
1.000000e+07 1.000000e+09 1.908357e-06 4.021472e-08 1.483619e-08 4.102041e-71 1.720724e-77 2.771477e-81
1.000000e+07 1.122018e+09 1.899224e-06 3.952578e-08 1.483619e-08 1.122018e-63 5.280941e-70 1.631967e-73
1.000000e+07 1.258925e+09 1.887528e-06 3.878878e-08 1.483619e-08 4.920395e-57 2.604422e-63 1.569319e-66
1.000000e+07 1.412538e+09 1.872948e-06 3.803575e-08 1.483619e-08 4.216965e-51 2.510217e-57 2.922209e-60
1.000000e+07 1.584893e+09 1.854363e-06 3.725068e-08 1.483619e-08 8.472274e-46 5.658630e-52 1.249428e-54
1.000000e+07 1.778279e+09 1.830971e-06 3.643357e-08 1.483619e-08 4.623810e-41 3.481058e-47 1.418115e-49
1.000000e+07 1.995262e+09 1.801491e-06 3.560044e-08 1.483619e-08 7.925013e-37 6.709827e-43 4.883276e-45
1.000000e+07 2.238721e+09 1.764481e-06 3.473526e-08 1.483619e-08 4.830588e-33 4.599507e-39 5.710989e-41
1.000000e+07 2.511886e+09 1.717857e-06 3.383804e-08 1.483619e-08 1.172195e-29 1.255195e-35 2.551005e-37
1.000000e+07 2.818383e+09 1.659218e-06 3.588883e-08 1.483619e-08 1.250259e-26 1.505606e-32 4.706644e-34
1.000000e+07 3.162278e+09 1.586318e-06 3.196349e-08 1.483619e-08 6.382635e-24 8.683830e-30 4.033772e-31
1.000000e+07 3.548134e+09 1.495635e-06 3.098616e-08 1.483619e-08 1.694338e-21 2.592455e-27 1.697115e-28
1.000000e+07 3.981072e+09 1.384924e-06 2.996077e-08 1.483619e-08 2.511886e-19 4.322264e-25 3.790629e-26
1.000000e+07 4.466836e+09 1.252424e-06 2.891935e-08 1.483619e-08 2.213095e-17 4.302405e-23 4.827378e-24

1.000000e+08 1.000000e+07 3.888170e-06 1.103421e-07 3.066573e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.584893e+07 3.888651e-06 1.100377e-07 3.066573e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 2.511886e+07 3.889292e-06 1.096212e-07 3.066573e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 3.981072e+07 3.889773e-06 1.090604e-07 3.066573e-08 0.000000e+00 0.000000e+00 0.000000e+00
