               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     3.27704767984500E-12     5.86555314487393E-10     7.25613552433481E-10     8.33329973691082E-02     7.25613552433481E-10     5.86555314301505E-10     3.27704786573291E-12     4.49487776623574E+09     1.00000000000000E-04
     6.55409478100743E-12     1.17311059231043E-09     1.45122705905046E-09     8.33329947382165E-02     1.45122705905046E-09     1.17311059156689E-09     6.55409552454735E-12     8.98975524837649E+09     2.00000000000000E-04
     9.83114130348976E-12     1.75966583346927E-09     2.17684051985114E-09     8.33329921073250E-02     2.17684051985114E-09     1.75966583179631E-09     9.83114297644415E-12     1.34846324464234E+10     3.00000000000000E-04
     1.31081872472859E-11     2.34622103796351E-09     2.90245393483502E-09     8.33329894764337E-02     2.90245393483502E-09     2.34622103498937E-09     1.31081902214211E-11     1.79795093603735E+10     4.00000000000000E-04
     1.63852326124037E-11     2.93277620579365E-09     3.62806730400273E-09     8.33329868455425E-02     3.62806730400273E-09     2.93277620114658E-09     1.63852372594811E-11     2.24743859902306E+10     5.00000000000000E-04
     1.96622773988431E-11     3.51933133695971E-09     4.35368062735427E-09     8.33329842146515E-02     4.35368062735427E-09     3.51933133026793E-09     1.96622840906241E-11     2.69692623359948E+10     6.00000000000000E-04
     2.29393216066042E-11     4.10588643146167E-09     5.07929390488964E-09     8.33329815837607E-02     5.07929390488964E-09     4.10588642235342E-09     2.29393307148500E-11     3.14641383976660E+10     7.00000000000000E-04
     2.62163652356826E-11     4.69244148929923E-09     5.80490713660846E-09     8.33329789528700E-02     5.80490713660846E-09     4.69244147740276E-09     2.62163771321573E-11     3.59590141752418E+10     8.00000000000000E-04
     2.94934082860739E-11     5.27899651047206E-09     6.53052032251030E-09     8.33329763219795E-02     6.53052032251030E-09     5.27899649541558E-09     2.94934233425439E-11     4.04538896687197E+10     9.00000000000000E-04
     3.27704507577853E-11     5.86555149498067E-09     7.25613346259583E-09     8.33329736910892E-02     7.25613346259583E-09     5.86555147639244E-09     3.27704693460128E-11     4.49487648781038E+10     1.00000000000000E-03
     3.60474926508168E-11     6.45210644282508E-09     7.98174655686506E-09     8.33329710601990E-02     7.98174655686506E-09     6.45210642033334E-09     3.60475151425642E-11     4.94436398033940E+10     1.10000000000000E-03
