!23Ne (5/2+, 1.2+, 7/2+, 3/2+)  -> 23Na    beta-decay  USDB, with screening effects
!Exp. data are used.             Q=4.37581 MeV
! 
!Log(rhoY) Log(T) mu    dQ        Vs        e-cap-rate    nu-energy-loss  gamma-energy
!                   (MeV)    (MeV)   (MeV)       (1/s)           (MeV/s)           (MeV/s)  

1.00000000000000E+07 1.00000000000000E+07 1.95417475633050E-06 -4.79050792935000E-08 1.36185008025000E-08 1.75388050184176E-02 6.14059387436309E-08 4.43414994421900E-09
1.00000000000000E+07 1.58489319246111E+07 1.95225214445250E-06 -4.75846439805000E-08 1.36185008025000E-08 1.75549662962123E-02 6.15049932300913E-08 4.44028018239945E-09
1.00000000000000E+07 2.51188643150958E+07 1.94952844429200E-06 -4.72642086675000E-08 1.36185008025000E-08 1.75549662962123E-02 6.15333238490679E-08 4.44232547790134E-09
1.00000000000000E+07 3.98107170553497E+07 1.94728539710100E-06 -4.69437733545000E-08 1.36185008025000E-08 1.75509245811797E-02 6.14908328123765E-08 4.44028018239945E-09
1.00000000000000E+07 6.30957344480193E+07 1.94584343819250E-06 -4.63029027285000E-08 1.36185008025000E-08 1.75388050184176E-02 6.14483711173180E-08 4.43619241599174E-09
1.00000000000000E+07 1.00000000000000E+08 1.94488213225350E-06 -4.55018144460000E-08 1.36185008025000E-08 1.75266938246620E-02 6.13918011314289E-08 4.43210841282272E-09
1.00000000000000E+07 1.12201845430197E+08 1.94472191459700E-06 -4.53415967895000E-08 1.36185008025000E-08 1.75226586188571E-02 6.13776667741576E-08 4.43108799963045E-09
1.00000000000000E+07 1.25892541179417E+08 1.94456169694050E-06 -4.50211614765000E-08 1.36185008025000E-08 1.75186243420856E-02 6.13635356710677E-08 4.43108799963045E-09
1.00000000000000E+07 1.41253754462276E+08 1.94440147928400E-06 -4.47007261635000E-08 1.36185008025000E-08 1.75145909941338E-02 6.13494078214100E-08 4.43006782136995E-09
1.00000000000000E+07 1.58489319246111E+08 1.94424126162750E-06 -4.45405085070000E-08 1.36185008025000E-08 1.75105585747878E-02 6.13352832244354E-08 4.42904787798714E-09
1.00000000000000E+07 1.77827941003892E+08 1.94408104397100E-06 -4.42200731940000E-08 1.36185008025000E-08 1.75105585747878E-02 6.13211618793950E-08 4.42802816942792E-09
1.00000000000000E+07 1.99526231496888E+08 1.94376060865800E-06 -4.38996378810000E-08 1.36185008025000E-08 1.75065270838337E-02 6.13070437855401E-08 4.42598945656408E-09
1.00000000000000E+07 2.23872113856834E+08 1.94344017334500E-06 -4.35792025680000E-08 1.36185008025000E-08 1.75024965210579E-02 6.12929289421223E-08 4.42497045215136E-09
1.00000000000000E+07 2.51188643150958E+08 1.94295952037550E-06 -4.30985495985000E-08 1.36185008025000E-08 1.74984668862466E-02 6.12647090036044E-08 4.42395168234606E-09
1.00000000000000E+07 2.81838293126445E+08 1.94231864974950E-06 -4.27781142855000E-08 1.36185008025000E-08 1.74944381791862E-02 6.12506039070081E-08 4.42293314709418E-09
1.00000000000000E+07 3.16227766016838E+08 1.94167777912350E-06 -4.24576789725000E-08 1.36185008025000E-08 1.74904103996630E-02 6.12365020578565E-08 4.42191484634170E-09
1.00000000000000E+07 3.54813389233576E+08 1.94071647318450E-06 -4.19770260030000E-08 1.36185008025000E-08 1.74863835474637E-02 6.12224034554018E-08 4.42089678003465E-09
1.00000000000000E+07 3.98107170553497E+08 1.93959494958900E-06 -4.14963730335000E-08 1.36185008025000E-08 1.74823576223745E-02 6.12083080988966E-08 4.41987894811904E-09
1.00000000000000E+07 4.46683592150963E+08 1.93815299068050E-06 -4.10157200640000E-08 1.36185008025000E-08 1.74743085526732E-02 6.11942159875936E-08 4.41886135054091E-09
1.00000000000000E+07 5.01187233627271E+08 1.93623037880250E-06 -4.05350670945000E-08 1.36185008025000E-08 1.74702854076343E-02 6.11801271207455E-08 4.41784398724630E-09
1.00000000000000E+07 5.62341325190349E+08 1.93398733161150E-06 -4.00544141250000E-08 1.36185008025000E-08 1.74662631888521E-02 6.11801271207455E-08 4.41784398724630E-09
1.00000000000000E+07 6.30957344480194E+08 1.93110341379450E-06 -3.94135434990000E-08 1.36185008025000E-08 1.74622418961135E-02 6.11660414976055E-08 4.41682685818129E-09
1.00000000000000E+07 7.07945784384137E+08 1.92741840769500E-06 -3.89328905295000E-08 1.36185008025000E-08 1.74582215292050E-02 6.11660414976055E-08 4.41682685818129E-09
1.00000000000000E+07 7.94328234724282E+08 1.92277209565650E-06 -3.82920199035000E-08 1.36185008025000E-08 1.74542020879137E-02 6.11660414976055E-08 4.41682685818129E-09
1.00000000000000E+07 8.91250938133744E+08 1.91700426002250E-06 -3.76511492775000E-08 1.36185008025000E-08 1.74542020879137E-02 6.11660414976055E-08 4.41682685818129E-09
1.00000000000000E+07 1.00000000000000E+09 1.90963424782350E-06 -3.70102786515000E-08 1.36185008025000E-08 1.74542020879137E-02 6.11942159875936E-08 4.41886135054091E-09
1.00000000000000E+07 1.12201845430197E+09 1.90034162374650E-06 -3.62091903690000E-08 1.36185008025000E-08 1.74542020879137E-02 6.12224034554018E-08 4.42089678003465E-09
1.00000000000000E+07 1.25892541179417E+09 1.88880595247850E-06 -3.55683197430000E-08 1.36185008025000E-08 1.74582215292050E-02 6.12788173483931E-08 4.42395168234606E-09
1.00000000000000E+07 1.41253754462276E+09 1.87406592808050E-06 -3.47672314605000E-08 1.36185008025000E-08 1.74702854076343E-02 6.13776667741576E-08 4.43108799963045E-09
1.00000000000000E+07 1.58489319246111E+09 1.85564089758300E-06 -3.41263608345000E-08 1.36185008025000E-08 1.74944381791862E-02 6.15474940518319E-08 4.44232547790134E-09
1.00000000000000E+07 1.77827941003892E+09 1.83224911973400E-06 -3.33252725520000E-08 1.36185008025000E-08 1.75509245811797E-02 6.18458232642317E-08 4.46488600327157E-09
1.00000000000000E+07 1.99526231496888E+09 1.80276907093800E-06 -3.23639666130000E-08 1.36185008025000E-08 1.76522471745256E-02 6.23749736306908E-08 4.50619908480522E-09
1.00000000000000E+07 2.23872113856834E+09 1.76575879228650E-06 -3.15628783305000E-08 1.36185008025000E-08 1.78319977223292E-02 6.32863975481224E-08 4.57941892974843E-09
1.00000000000000E+07 2.51188643150958E+09 1.71897523658850E-06 -3.33252725520000E-08 1.36185008025000E-08 1.81718858478441E-02 6.49247633089699E-08 4.71531135794429E-09
1.00000000000000E+07 2.81838293126445E+09 1.66049579196600E-06 -2.98004841090000E-08 1.36185008025000E-08 1.86294485696165E-02 6.71135752532545E-08 4.90806578380657E-09
1.00000000000000E+07 3.16227766016838E+09 1.58743654060200E-06 -2.88391781700000E-08 1.36185008025000E-08 1.93642196394661E-02 7.06009223823894E-08 5.22168146179924E-09
1.00000000000000E+07 3.54813389233576E+09 1.49691356467950E-06 -2.78778722310000E-08 1.36185008025000E-08 2.04173794466953E-02 7.56154210926943E-08 5.68081145058302E-09
1.00000000000000E+07 3.98107170553497E+09 1.38620316403800E-06 -2.69165662920000E-08 1.36185008025000E-08 2.18574754868693E-02 8.24537429507256E-08 6.31553832631770E-09
1.00000000000000E+07 4.46683592150963E+09 1.25354294445600E-06 -2.59552603530000E-08 1.36185008025000E-08 2.37191979750485E-02 9.13714201498216E-08 7.14842516518469E-09
   
