!22na -> 22ne, e- capture
!Q=-5.184 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -8.112471      -14.387290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -8.112822      -14.389290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -8.112862      -14.389290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -8.101890      -14.346290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -6.466986      -12.122290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -5.158918      -10.806290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -4.126940       -9.771290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -3.609132       -9.246290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -3.078095       -8.669290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -2.496317       -7.874290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.347194       -6.377290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.205290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.547710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -8.107973      -14.366290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -8.111222      -14.381290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -8.111622      -14.383290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -8.100898      -14.341290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -6.466964      -12.122290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -5.158913      -10.806290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -4.126935       -9.771290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -3.609132       -9.246290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -3.078095       -8.669290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -2.496317       -7.874290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.347194       -6.377290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.205290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.547710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -8.074421      -14.230290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -8.095737      -14.313290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -8.099479      -14.328290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -8.091103      -14.299290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -6.466685      -12.121290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -5.158861      -10.806290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -4.126900       -9.771290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -3.609098       -9.246290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -3.078028       -8.669290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -2.495967       -7.874290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.347194       -6.377290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.205290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.547710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -7.953243      -13.894290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -7.978213      -13.951290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -7.997226      -13.996290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -8.004275      -14.014290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -6.463865      -12.117290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -5.158085      -10.804290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -4.126479       -9.769290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -3.608738       -9.245290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -3.077693       -8.668290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -2.495967       -7.874290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -1.346328       -6.377290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.205290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.547710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -7.550159      -13.247290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -7.553061      -13.251290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -7.559563      -13.256290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -7.575599      -13.272290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -6.437161      -12.076290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -5.150081      -10.785290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -4.119132       -9.753290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -3.603960       -9.232290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -3.073061       -8.658290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -2.493151       -7.869290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -1.346328       -6.376290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.455182       -3.205290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.547710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -6.756458      -12.335290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -6.755502      -12.335290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -6.753589      -12.331290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -6.751192      -12.326290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -6.241897      -11.801290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -5.079657      -10.633290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -4.055616       -9.605290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -3.541007       -9.085290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -3.021381       -8.539290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -2.462297       -7.816290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -1.338395       -6.368290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        1.455234       -3.204290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.547710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -5.526872      -11.142290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -5.523880      -11.140290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -5.514903      -11.138290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -5.478964      -11.127290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -5.310596      -10.899290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -4.607723       -9.974290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -3.654553       -8.966290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -3.143201       -8.440290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -2.622890       -7.898290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -2.152296       -7.370290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -1.263828       -6.286290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        1.458078       -3.201290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.700177        0.547710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00       -2.936997       -8.654290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00       -2.936997       -8.655290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -2.936997       -8.654290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00       -2.932997       -8.649290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00       -2.921876       -8.624290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00       -2.833941       -8.398290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00       -2.469341       -7.733290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00       -2.088812       -7.258290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00       -1.624363       -6.748290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -1.203823       -6.288290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -0.705230       -5.694290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        1.487721       -3.171290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.701177        0.548710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00       -0.655000       -6.021290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00       -0.655000       -6.021290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00       -0.655000       -6.020290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00       -0.654000       -6.019290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00       -0.653999       -6.018290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00       -0.642987       -5.995290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00       -0.574878       -5.845290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00       -0.446704       -5.612290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00       -0.189471       -5.244290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00        0.121705       -4.868290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00        0.482962       -4.437290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        1.764071       -2.887290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        4.709175        0.556710             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00        1.630000       -3.396290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00        1.630000       -3.395290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00        1.630000       -3.395290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00        1.630000       -3.395290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00        1.632000       -3.394290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00        1.633000       -3.392290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00        1.646001       -3.370290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00        1.671002       -3.324290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00        1.742006       -3.204290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00        1.869013       -3.016290             -100.00  
      10.000000       10.000000    1.664501e-05            0.00            0.00        2.090024       -2.747290             -100.00  
      10.000000       10.477121    1.386043e-05            0.00            0.00        2.858026       -1.780290             -100.00  
      10.000000       11.000000    2.164541e-06            0.00            0.00        4.791154        0.640710             -100.00  
      11.000000        7.000000    3.752137e-05            0.00            0.00        4.330000       -0.380290             -100.00  
      11.000000        8.000000    3.752939e-05            0.00            0.00        4.330000       -0.380290             -100.00  
      11.000000        8.301030    3.752137e-05            0.00            0.00        4.329000       -0.380290             -100.00  
      11.000000        8.602060    3.752137e-05            0.00            0.00        4.329000       -0.380290             -100.00  
      11.000000        8.845098    3.752939e-05            0.00            0.00        4.330000       -0.379290             -100.00  
      11.000000        9.000000    3.752137e-05            0.00            0.00        4.330000       -0.380290             -100.00  
      11.000000        9.176091    3.752137e-05            0.00            0.00        4.331000       -0.378290             -100.00  
      11.000000        9.301030    3.752137e-05            0.00            0.00        4.333000       -0.374290             -100.00  
      11.000000        9.477121    3.751336e-05            0.00            0.00        4.338000       -0.365290             -100.00  
      11.000000        9.698970    3.748933e-05            0.00            0.00        4.348000       -0.344290             -100.00  
