!26na -> 26mg, beta-decay
!Q=-6.888 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.101000            -5.329290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.101000            -5.329290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.101000            -5.329290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.102000            -5.332290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.102000            -5.334290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.098999            -5.333290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.092983            -5.326290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.087913            -5.321290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.082421            -5.313290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.074528            -5.296290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.299931            -4.730290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.129067            -2.538290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.756527             0.642710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.101000            -5.329290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.101000            -5.329290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.101000            -5.329290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.102000            -5.332290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.102000            -5.334290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.098999            -5.333290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.092983            -5.326290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.087914            -5.321290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.082421            -5.313290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.074528            -5.296290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.299931            -4.730290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.129067            -2.538290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.756527             0.642710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.101000            -5.329290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.101000            -5.329290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.101000            -5.329290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.102000            -5.332290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.102000            -5.334290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.098999            -5.333290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.092983            -5.326290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.087914            -5.321290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.082423            -5.313290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.074528            -5.296290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        0.299931            -4.730290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.129067            -2.538290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.756527             0.642710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.101000            -5.329290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.101000            -5.329290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.101000            -5.330290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.102000            -5.332290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.102000            -5.334290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.099000            -5.333290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.092988            -5.326290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.087920            -5.321290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.082429            -5.313290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.074538            -5.296290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        0.299931            -4.730290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.129067            -2.538290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.756527             0.642710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.101000            -5.330290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.101000            -5.330290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.101000            -5.330290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.102000            -5.332290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.102000            -5.335290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.100000            -5.333290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.092998            -5.327290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.087959            -5.321290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -0.082494            -5.314290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -0.074619            -5.296290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        0.299871            -4.730290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.129067            -2.538290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.756527             0.642710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.102000            -5.332290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.102000            -5.332290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.103000            -5.333290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.104000            -5.335290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.104000            -5.337290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.101000            -5.335290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.095000            -5.329290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.089995            -5.323290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -0.083814            -5.316290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -0.076344            -5.299290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        0.299336            -4.731290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.129067            -2.538290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.756527             0.642710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.119000            -5.355290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -0.118000            -5.354290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -0.119000            -5.355290             -100.00  
