!27al -> 27mg, e- capture
!Q=-17.1943 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -76.904000      -83.979290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -43.582000      -50.350290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -28.495000      -35.010290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -21.314998      -27.665290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -15.489989      -21.650290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -12.440980      -18.462290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -9.166853      -14.987290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.031516      -11.608290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.441824       -7.712290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.543040       -3.206290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.774714        0.637710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -75.904000      -82.979290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -42.582000      -49.350290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -28.082000      -34.597290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -21.292998      -27.643290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -15.488990      -21.648290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -12.440980      -18.462290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -9.166853      -14.987290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.031516      -11.608290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.441824       -7.712290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.543040       -3.206290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.774714        0.637710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -74.898000      -81.973290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -41.580000      -48.347290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -27.134000      -33.649290             -100.00  
