!29si -> 29al, e- capture
!Q=-21.8937 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -56.302000      -63.071290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -35.428000      -41.944290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -25.932995      -32.286290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -18.316963      -24.478290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -14.371886      -20.393290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -10.217584      -16.028290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.509677      -12.044290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.938877       -8.141290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.310193       -3.439290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.801879        0.664710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -55.303000      -62.071290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -35.015000      -41.531290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -25.911995      -32.264290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -18.314963      -24.476290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -14.371886      -20.392290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -10.217584      -16.028290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.509677      -12.044290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.938877       -8.141290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.310193       -3.439290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.801879        0.664710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -54.300000      -61.069290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -34.066000      -40.583290             -100.00  
