!30p -> 30s, beta-decay
!Q=-20.2045 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -78.858000           -85.632290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -45.182000           -51.708290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -32.484000           -38.850290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -22.469000           -28.651290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -17.346000           -23.396290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -12.068992           -17.930290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -7.602472           -13.220290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.781662            -9.053290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.492273            -4.228290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.286005             0.080710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -79.858000           -86.631290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -45.595000           -52.121290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -32.506000           -38.872290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -22.470000           -28.652290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -17.346000           -23.397290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -12.068992           -17.930290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -7.602472           -13.220290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.781662            -9.053290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.492273            -4.228290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.286005             0.080710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -80.860000           -87.634290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -46.543000           -53.069290             -100.00  
