!32p -> 32si, e- capture
!Q=-24.3042 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -27.366000      -34.736290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -21.550000      -28.607290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -18.441000      -25.178290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -16.292989      -22.655290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -13.612708      -19.424290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -10.620013      -16.327290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -8.967483      -14.629290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -7.080892      -12.658290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -5.026819      -10.452290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.638526       -7.762290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.155587       -3.567290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.587125        0.410710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -26.364000      -33.734290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -20.549000      -27.607290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -17.441000      -24.178290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -15.879996      -22.242290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -13.591769      -19.402290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -10.618045      -16.326290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -8.967483      -14.629290             -100.00  
