!37k -> 37ca, beta-decay
!Q=-24.7994 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -83.885000           -90.415290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -59.336000           -65.707290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -40.091000           -46.282290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -30.356000           -36.416290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -20.454000           -26.326290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -12.281000           -17.904290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -5.781000           -11.044290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00       -0.194000            -4.909290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        3.758000            -0.431290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -84.298000           -90.828290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -59.357000           -65.728290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -40.093000           -46.283290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -30.356000           -36.416290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -20.454000           -26.326290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -12.281000           -17.904290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -5.781000           -11.044290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00       -0.194000            -4.909290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        3.758000            -0.431290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -85.247000           -91.776290             -100.00  
