!42ca -> 42sc, beta-decay
!Q=-38.5439 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -81.976000           -88.751290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -46.788000           -53.317290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -33.487000           -39.857290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -22.993000           -29.181290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -17.603000           -23.661290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -11.986999           -17.858290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -7.162216           -12.790290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.274895            -8.561290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.445104            -4.212290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        3.924026            -0.247290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -82.976000           -89.751290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -47.201000           -53.730290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -33.508000           -39.879290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -22.994000           -29.183290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -17.604000           -23.662290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -11.986999           -17.858290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -7.162216           -12.790290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.274895            -8.561290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.445104            -4.212290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        3.924026            -0.247290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -83.978000           -90.753290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -48.149000           -54.678290             -100.00  
