!42k -> 42ar, e- capture
!Q=-35.0228 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -47.418000      -54.793290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -31.768000      -38.835290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -23.730000      -30.483290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -19.520000      -26.014290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -16.697000      -23.021290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -13.492000      -19.613290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -11.214999      -17.195290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -8.671618      -14.457290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.131936      -11.679290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.281801       -8.421290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.880130       -3.693290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.627489        0.545710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -46.416000      -53.791290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -30.767000      -37.834290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -22.730000      -29.483290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -19.107000      -25.601290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -16.676000      -23.000290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -13.491000      -19.612290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -11.214999      -17.194290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -8.671618      -14.457290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.131936      -11.679290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.281801       -8.421290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.880130       -3.693290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.627489        0.545710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -45.399000      -52.774290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -29.762000      -36.828290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -21.727000      -28.480290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -18.159000      -24.652290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -16.470000      -22.794290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -13.476000      -19.597290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -11.211999      -17.191290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -8.670618      -14.457290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -6.131936      -11.679290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -3.281801       -8.421290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        0.880130       -3.693290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.627489        0.545710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -44.242000      -51.617290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -28.707000      -35.774290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -20.709000      -27.462290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -17.153000      -23.646290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -15.648000      -21.972290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -13.335000      -19.456290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -11.179999      -17.160290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -8.665623      -14.451290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -6.130979      -11.678290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -3.280971       -8.421290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        0.880130       -3.693290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.627489        0.545710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
