!52cr -> 52mn, beta-decay
!Q=-55.4153 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -62.867962           -69.616290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -36.855963           -43.342290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -27.123825           -33.452290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -19.250716           -25.392290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -15.011816           -21.021290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -10.420311           -16.231290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.176267           -11.691290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.371616            -7.612290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.293483            -3.349290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.641016             0.460710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -63.867619           -70.616290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -37.268903           -43.755290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -27.144816           -33.474290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -19.251715           -25.393290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -15.011816           -21.021290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -10.420311           -16.231290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.176267           -11.691290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.371616            -7.612290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.293483            -3.349290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.641016             0.460710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -64.867208           -71.616290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -38.216144           -44.703290             -100.00  
