!52mn -> 52cr, e- capture
!Q=-50.7042 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -6.397849      -12.663290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -6.399319      -12.669290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -6.399506      -12.670290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -6.394634      -12.646290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -5.917552      -11.596290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -5.067690      -10.599290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -4.245863       -9.748290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -3.808984       -9.305290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -3.343194       -8.809290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -2.688260       -7.981290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.056714       -6.163290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.172696       -2.472290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.254442        1.135710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -6.379877      -12.585290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -6.393248      -12.642290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -6.395087      -12.650290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -6.391353      -12.632290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -5.916841      -11.595290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -5.067622      -10.599290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -4.245844       -9.748290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -3.808984       -9.305290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -3.343194       -8.809290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -2.688260       -7.981290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.056714       -6.163290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.172696       -2.472290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.254442        1.135710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -6.261159      -12.230290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -6.337463      -12.435290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -6.353411      -12.486290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -6.359837      -12.506290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -5.907821      -11.583290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -5.066794      -10.598290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -4.245708       -9.748290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -3.808874       -9.305290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -3.343059       -8.809290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -2.688260       -7.981290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.056714       -6.163290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.172696       -2.472290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.254442        1.135710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -5.961963      -11.709290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -6.026822      -11.802290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -6.081637      -11.885290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -6.132131      -11.964290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -5.826156      -11.483290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -5.054691      -10.586290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -4.244073       -9.746290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -3.807990       -9.304290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -3.342381       -8.808290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -2.687744       -7.980290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -1.056714       -6.163290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.172696       -2.472290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.254442        1.135710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -5.402018      -11.033290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -5.409207      -11.039290             -100.00  
