!52v -> 52ti, e- capture
!Q=-51.4389 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -60.816000      -67.892290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -35.682000      -42.450290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -24.135000      -30.652290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -18.390000      -24.743290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -13.704000      -19.870290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -11.236000      -17.266290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -8.560000      -14.397290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -5.927896      -11.528290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.437091       -7.730290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.534197       -3.197290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.855925        0.731710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -59.816000      -66.891290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -34.682000      -41.450290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -23.722000      -30.239290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -18.368000      -24.722290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -13.703000      -19.869290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -11.235000      -17.265290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -8.560000      -14.397290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -5.927896      -11.528290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.437091       -7.730290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.534197       -3.197290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.855925        0.731710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -58.810000      -65.885290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -33.679000      -40.447290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -22.774000      -29.290290             -100.00  
