!53cr -> 53v, e- capture
!Q=-55.2837 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -96.143939     -103.219290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -52.581000      -59.349290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -33.066000      -39.582290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -24.080000      -30.434290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -16.834000      -22.999290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -13.071000      -19.101290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -9.129000      -14.964290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -5.718916      -11.305290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.664028       -7.909290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.463916       -3.237290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.002585        0.888710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -95.142994     -102.218290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -51.581000      -58.349290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -32.653000      -39.169290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -24.059000      -30.412290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -16.832000      -22.998290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -13.071000      -19.101290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -9.129000      -14.964290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -5.718916      -11.305290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.664028       -7.909290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.463916       -3.237290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.002585        0.888710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -94.136999     -101.212290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -50.579000      -57.347290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -31.704000      -38.221290             -100.00  
