!57co -> 57ni, beta-decay
!Q=-59.3424 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -88.261000           -95.328290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -45.689000           -52.442290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -27.500000           -33.994290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -20.971000           -27.296290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -15.675430           -21.808290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -12.758485           -18.738290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -9.212131           -14.963290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -5.772890           -11.349290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.692073            -7.808290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.109793            -3.537290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.548001             0.362710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -89.262000           -96.329290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -46.689000           -53.442290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -27.913000           -34.407290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -20.993000           -27.318290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -15.677428           -21.809290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -12.758485           -18.738290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -9.212131           -14.963290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -5.772890           -11.349290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.692073            -7.808290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.109793            -3.537290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.548001             0.362710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970          -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -90.268000           -97.334290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -47.692000           -54.445290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -28.861000           -35.355290             -100.00  
