!59co -> 59fe, e- capture
!Q=-62.2264 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -92.414000      -99.786290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -52.503000      -59.564290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -32.294000      -39.036290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -22.653000      -29.122290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -17.335000      -23.626290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -12.701000      -18.813290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -10.153000      -16.140290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -7.244000      -13.056290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -4.219975       -9.817290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.176521       -6.448290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.165559       -2.549290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.255652        1.136710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -91.413000      -98.784290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -51.503000      -58.563290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -31.294000      -38.036290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -22.241000      -28.709290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -17.313000      -23.604290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -12.700000      -18.811290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -10.152000      -16.139290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -7.244000      -13.056290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -4.219975       -9.817290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.176521       -6.448290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.165559       -2.549290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.255652        1.136710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -90.395000      -97.767290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -50.497000      -57.558290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -30.291000      -37.034290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -21.292000      -27.760290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -17.107000      -23.398290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -12.685000      -18.797290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -10.149000      -16.136290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -7.244000      -13.055290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -4.219975       -9.817290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.176521       -6.448290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.165559       -2.549290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.255652        1.136710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -89.239000      -96.610290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -49.442000      -56.503290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -29.274000      -36.016290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -20.286000      -26.754290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -16.286000      -22.576290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -12.544000      -18.655290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -10.118000      -16.105290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -7.238000      -13.050290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -4.218976       -9.816290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -1.176521       -6.448290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.165559       -2.549290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.255652        1.136710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -86.885000      -94.260290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -47.941000      -55.000290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -28.107000      -34.848290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -19.221000      -25.691290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -15.257000      -21.549290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -11.811000      -17.923290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -9.829000      -15.817290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -7.185000      -12.996290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -4.210976       -9.808290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -1.175524       -6.447290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.165559       -2.549290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.255652        1.136710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -78.753000      -86.124290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -43.789000      -50.839290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -25.846000      -32.577290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -17.683000      -24.157290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -13.966000      -20.269290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -10.684000      -16.797290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -8.867000      -14.854290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -6.744000      -12.555290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -4.127980       -9.725290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -1.166554       -6.438290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.165559       -2.549290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.255652        1.136710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00      -99.697970     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00      -58.058000      -65.437290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00      -35.087000      -41.685290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00      -21.178000      -27.653290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00      -14.525000      -20.906290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00      -11.496000      -17.772290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -8.859000      -14.966290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -7.356000      -13.333290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -5.547000      -11.352290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -3.517995       -9.115290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -1.078814       -6.350290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        2.168521       -2.546290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.255652        1.136710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00      -10.811000      -17.153290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00      -10.809000      -17.151290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -9.993000      -16.838290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00       -7.903000      -14.670290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00       -6.637000      -13.150290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00       -5.949000      -12.294290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00       -5.237000      -11.332290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00       -4.586000      -10.523290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00       -3.490000       -9.262290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -2.038000       -7.627290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -0.428729       -5.698290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        2.199167       -2.515290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        5.256648        1.137710             -100.00  
