!63cu -> 63zn, beta-decay
!Q=2.8559 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -89.702000             -9.677629e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -45.877000             -5.264329e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -27.161999             -3.367429e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -20.421979             -2.676829e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -14.993632             -2.114529e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -12.113809             -1.812229e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -8.975058              -1.477429e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.975571              -1.150429e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.002228              -8.207290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.184169               -4.436290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.946256               -1.189290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -90.703000             -9.777729e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -46.878000             -5.364329e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -27.574999             -3.408829e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -20.442978             -2.679029e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -14.994631             -2.114629e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -12.113809             -1.812229e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -8.975058              -1.477429e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.975571              -1.150429e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.002228              -8.207290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.184169               -4.436290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.946256               -1.189290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -91.708000             -9.878229e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -47.878999             -5.464529e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -28.522987             -3.503629e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -20.648964             -2.699629e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -15.009618             -2.116129e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -12.116794             -1.812529e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -8.976013              -1.477429e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.975571              -1.150529e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.002228              -8.207290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.184169               -4.436290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.946256               -1.189290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -92.763000             -9.983729e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -48.896992             -5.566329e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -29.529870             -3.604229e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -21.470766             -2.781729e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -15.151472             -2.130229e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -12.148625             -1.815729e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -8.980787              -1.477929e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -5.976255              -1.150529e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -3.002228              -8.207290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.184169               -4.436290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.946256               -1.189290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -94.265999             -1.013403e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -50.067907             -5.683429e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -30.594678             -3.710629e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -22.500690             -2.884629e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -15.882256             -2.203429e+01         -100.00
