!18f -> 18o, e- capture
!Q=1.655 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -4.010762      -10.222290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -4.010915      -10.222290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -4.010933      -10.222290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -4.010943      -10.222290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -4.010771      -10.222290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -4.006329      -10.201290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -3.943745       -9.955290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -3.744878       -9.482290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -3.181896       -8.668290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -2.350694       -7.673290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -1.090264       -6.186290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.385945       -3.267290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -4.008732      -10.213290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -4.010152      -10.219290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -4.010328      -10.220290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -4.010433      -10.220290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -4.010408      -10.220290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -4.006087      -10.200290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -3.943458       -9.955290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -3.744432       -9.482290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -3.181896       -8.668290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -2.350694       -7.673290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -1.090264       -6.186290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.385945       -3.267290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -3.994387      -10.155290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -4.002690      -10.188290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -4.004356      -10.194290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -4.005377      -10.198290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -4.005786      -10.199290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -4.003132      -10.187290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -3.941413       -9.948290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -3.743091       -9.479290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -3.181076       -8.668290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -2.350694       -7.673290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -1.090264       -6.186290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.385945       -3.267290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -3.927381       -9.939290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -3.940669       -9.976290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -3.950444      -10.003290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -3.958145      -10.025290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -3.961587      -10.032290             -100.00  
