!19ne -> 19f, e- capture
!Q=3.238 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -1.414994       -7.112290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -1.414998       -7.112290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -1.414998       -7.112290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -1.414999       -7.112290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -1.422995       -7.120290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -1.439902       -7.137290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -1.467534       -7.161290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -1.481045       -7.165290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -1.464793       -7.083290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -1.231792       -6.589290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -0.305210       -5.328290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.816432       -2.815290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -1.414946       -7.112290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -1.414980       -7.112290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -1.414985       -7.112290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -1.414988       -7.112290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -1.422987       -7.120290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -1.439897       -7.137290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -1.467528       -7.161290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -1.481045       -7.165290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -1.464793       -7.083290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -1.231792       -6.589290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -0.305210       -5.328290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.816432       -2.815290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -1.414600       -7.111290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -1.414806       -7.111290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -1.414848       -7.111290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -1.414876       -7.112290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -1.422888       -7.120290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -1.439835       -7.137290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -1.467479       -7.161290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -1.480981       -7.165290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -1.464696       -7.083290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -1.231792       -6.589290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -0.305210       -5.328290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.816432       -2.815290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -1.412863       -7.106290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -1.413255       -7.107290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -1.413534       -7.108290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -1.413769       -7.109290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -1.421888       -7.117290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00       -1.438915       -7.134290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00       -1.465902       -7.159290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -1.480466       -7.164290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -1.464208       -7.081290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -1.231329       -6.588290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -0.305210       -5.328290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.816432       -2.815290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00       -1.402369       -7.080290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00       -1.402483       -7.080290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00       -1.402847       -7.081290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00       -1.403596       -7.083290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00       -1.412226       -7.092290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00       -1.429444       -7.109290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00       -1.457152       -7.136290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00       -1.473691       -7.145290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00       -1.457937       -7.068290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00       -1.227600       -6.582290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00       -0.304289       -5.327290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        1.816432       -2.815290             -100.00  
       6.000000        7.000000    1.163180e-06            0.00            0.00       -1.324293       -6.901290             -100.00  
       6.000000        8.000000    1.161578e-06            0.00            0.00       -1.324293       -6.901290             -100.00  
       6.000000        8.301030    1.159976e-06            0.00            0.00       -1.324293       -6.901290             -100.00  
       6.000000        8.602060    1.150363e-06            0.00            0.00       -1.324104       -6.900290             -100.00  
       6.000000        8.845098    1.121524e-06            0.00            0.00       -1.331536       -6.906290             -100.00  
       6.000000        9.000000    1.076663e-06            0.00            0.00       -1.347198       -6.919290             -100.00  
       6.000000        9.176091    9.677147e-07            0.00            0.00       -1.371875       -6.938290             -100.00  
       6.000000        9.301030    8.203144e-07            0.00            0.00       -1.387624       -6.944290             -100.00  
       6.000000        9.477121    4.790508e-07            0.00            0.00       -1.385705       -6.908290             -100.00  
       6.000000        9.698970    1.457981e-07            0.00            0.00       -1.186855       -6.521290             -100.00  
       6.000000       10.000000    3.204353e-08            0.00            0.00       -0.296837       -5.318290             -100.00  
       6.000000       10.477121    3.204353e-09            0.00            0.00        1.816432       -2.814290             -100.00  
       7.000000        7.000000    1.959462e-06            0.00            0.00       -0.873030       -6.189290             -100.00  
       7.000000        8.000000    1.957860e-06            0.00            0.00       -0.873030       -6.189290             -100.00  
       7.000000        8.301030    1.957860e-06            0.00            0.00       -0.872317       -6.189290             -100.00  
       7.000000        8.602060    1.953053e-06            0.00            0.00       -0.872317       -6.188290             -100.00  
       7.000000        8.845098    1.941838e-06            0.00            0.00       -0.876744       -6.191290             -100.00  
       7.000000        9.000000    1.922612e-06            0.00            0.00       -0.887284       -6.199290             -100.00  
       7.000000        9.176091    1.879353e-06            0.00            0.00       -0.901522       -6.209290             -100.00  
       7.000000        9.301030    1.815266e-06            0.00            0.00       -0.906858       -6.206290             -100.00  
       7.000000        9.477121    1.635822e-06            0.00            0.00       -0.896771       -6.174290             -100.00  
       7.000000        9.698970    1.118319e-06            0.00            0.00       -0.817206       -6.032290             -100.00  
       7.000000       10.000000    3.140266e-07            0.00            0.00       -0.217228       -5.234290             -100.00  
       7.000000       10.477121    3.364571e-08            0.00            0.00        1.819401       -2.811290             -100.00  
       8.000000        7.000000    3.920526e-06            0.00            0.00        0.162640       -4.971290             -100.00  
       8.000000        8.000000    3.920526e-06            0.00            0.00        0.162640       -4.971290             -100.00  
       8.000000        8.301030    3.918924e-06            0.00            0.00        0.162640       -4.971290             -100.00  
       8.000000        8.602060    3.917322e-06            0.00            0.00        0.162640       -4.971290             -100.00  
       8.000000        8.845098    3.912515e-06            0.00            0.00        0.158535       -4.975290             -100.00  
       8.000000        9.000000    3.904504e-06            0.00            0.00        0.150301       -4.985290             -100.00  
       8.000000        9.176091    3.883676e-06            0.00            0.00        0.137897       -4.998290             -100.00  
       8.000000        9.301030    3.854837e-06            0.00            0.00        0.132532       -5.002290             -100.00  
       8.000000        9.477121    3.773126e-06            0.00            0.00        0.136063       -4.990290             -100.00  
       8.000000        9.698970    3.511971e-06            0.00            0.00        0.175659       -4.920290             -100.00  
       8.000000       10.000000    2.392050e-06            0.00            0.00        0.353541       -4.632290             -100.00  
       8.000000       10.477121    3.348549e-07            0.00            0.00        1.850147       -2.780290             -100.00  
       9.000000        7.000000    8.299275e-06            0.00            0.00        1.467570       -3.489290             -100.00  
       9.000000        8.000000    8.299275e-06            0.00            0.00        1.467570       -3.489290             -100.00  
       9.000000        8.301030    8.299275e-06            0.00            0.00        1.467570       -3.489290             -100.00  
       9.000000        8.602060    8.299275e-06            0.00            0.00        1.467570       -3.489290             -100.00  
       9.000000        8.845098    8.296071e-06            0.00            0.00        1.464563       -3.494290             -100.00  
       9.000000        9.000000    8.292866e-06            0.00            0.00        1.457550       -3.502290             -100.00  
       9.000000        9.176091    8.283253e-06            0.00            0.00        1.446529       -3.515290             -100.00  
       9.000000        9.301030    8.268834e-06            0.00            0.00        1.440512       -3.523290             -100.00  
       9.000000        9.477121    8.231984e-06            0.00            0.00        1.437497       -3.524290             -100.00  
       9.000000        9.698970    8.110218e-06            0.00            0.00        1.449509       -3.500290             -100.00  
       9.000000       10.000000    7.543048e-06            0.00            0.00        1.519594       -3.376290             -100.00  
       9.000000       10.477121    3.159492e-06            0.00            0.00        2.130331       -2.494290             -100.00  
      10.000000        7.000000    1.781300e-05            0.00            0.00        2.913020       -1.811290             -100.00  
      10.000000        8.000000    1.781300e-05            0.00            0.00        2.913020       -1.811290             -100.00  
      10.000000        8.301030    1.781300e-05            0.00            0.00        2.913020       -1.811290             -100.00  
      10.000000        8.602060    1.781300e-05            0.00            0.00        2.913020       -1.811290             -100.00  
      10.000000        8.845098    1.781140e-05            0.00            0.00        2.911020       -1.814290             -100.00  
      10.000000        9.000000    1.780980e-05            0.00            0.00        2.906020       -1.820290             -100.00  
      10.000000        9.176091    1.780499e-05            0.00            0.00        2.899019       -1.830290             -100.00  
      10.000000        9.301030    1.779858e-05            0.00            0.00        2.894018       -1.836290             -100.00  
      10.000000        9.477121    1.778096e-05            0.00            0.00        2.891017       -1.840290             -100.00  
      10.000000        9.698970    1.772488e-05            0.00            0.00        2.893018       -1.835290             -100.00  
      10.000000       10.000000    1.746052e-05            0.00            0.00        2.914024       -1.797290             -100.00  
      10.000000       10.477121    1.468074e-05            0.00            0.00        3.166233       -1.407290             -100.00  
      11.000000        7.000000    3.834650e-05            0.00            0.00        4.455001        0.004710             -100.00  
      11.000000        8.000000    3.834650e-05            0.00            0.00        4.455001        0.004710             -100.00  
      11.000000        8.301030    3.834650e-05            0.00            0.00        4.455001        0.004710             -100.00  
      11.000000        8.602060    3.834650e-05            0.00            0.00        4.455001        0.004710             -100.00  
      11.000000        8.845098    3.834489e-05            0.00            0.00        4.454001        0.002710             -100.00  
      11.000000        9.000000    3.834489e-05            0.00            0.00        4.452001       -0.000290             -100.00  
      11.000000        9.176091    3.834169e-05            0.00            0.00        4.448001       -0.005290             -100.00  
      11.000000        9.301030    3.834009e-05            0.00            0.00        4.446001       -0.009290             -100.00  
      11.000000        9.477121    3.833047e-05            0.00            0.00        4.444000       -0.012290             -100.00  
      11.000000        9.698970    3.830484e-05            0.00            0.00        4.445001       -0.011290             -100.00  
      11.000000       10.000000    3.818307e-05            0.00            0.00        4.451001       -0.001290             -100.00  
      11.000000       10.477121    3.687410e-05            0.00            0.00        4.571009        0.160710             -100.00  
