!20na -> 20mg, beta-decay
!Q=-10.731 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -77.822000           -84.349290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -55.216000           -61.585290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -37.502999           -43.688290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -28.542999           -34.597290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -19.456991           -25.322290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00      -11.976943           -17.599290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -5.816708           -11.098290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00       -0.137874            -4.879290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -78.235000           -84.762290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -55.238000           -61.606290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -37.504999           -43.690290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -28.542999           -34.597290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -19.456991           -25.322290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00      -11.976943           -17.599290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -5.816708           -11.098290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00       -0.137874            -4.879290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -79.183000           -85.711290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -55.444000           -61.812290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -37.518999           -43.704290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -28.546998           -34.600290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -19.456991           -25.323290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00      -11.976943           -17.599290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -5.816708           -11.098290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00       -0.137874            -4.879290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -80.189999           -86.717290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -56.265999           -62.634290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -37.660999           -43.846290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -28.577998           -34.632290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -19.462991           -25.328290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00      -11.977943           -17.600290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -5.816708           -11.098290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00       -0.137874            -4.879290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -81.255993           -87.783290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -57.296993           -63.666290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -38.393996           -44.580290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -28.866997           -34.920290             -100.00  
