!25mg -> 25na, e- capture
!Q=-3.833 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -58.321000      -65.092290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -36.599000      -43.121290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -26.757000      -33.118290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -18.871994      -25.047290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -14.801952      -20.843290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -10.554237      -16.400290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -6.850250      -12.429290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.245187       -8.398290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.081609       -3.572290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -57.321000      -64.092290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -36.186000      -42.708290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -26.735000      -33.097290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -18.869994      -25.046290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -14.800952      -20.842290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -10.554237      -16.400290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -6.850250      -12.429290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.245187       -8.398290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.081609       -3.572290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -56.319000      -63.090290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -35.237000      -41.760290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -26.529000      -32.891290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -18.855995      -25.031290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -14.797952      -20.839290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -10.553239      -16.399290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -6.850250      -12.429290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.245187       -8.398290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.081609       -3.572290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -55.301000      -62.072290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -34.231000      -40.753290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -25.707000      -32.069290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -18.713996      -24.890290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -14.766956      -20.807290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -10.548248      -16.394290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -6.850250      -12.428290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.245187       -8.398290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.081609       -3.572290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -54.130000      -60.902290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -33.165000      -39.687290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -24.676000      -31.037290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -17.980999      -24.156290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -14.477977      -20.519290             -100.00  
