!26mg -> 26al, beta-decay
!Q=-4.004 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -54.696999           -61.470290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -31.331999           -37.855290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -22.751996           -29.115290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -15.927973           -22.105290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -12.381920           -18.424290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -8.624726           -14.471290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -5.243391           -10.836290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -2.079382            -7.320290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.266534            -3.438290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -55.697993           -62.470290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -31.744998           -38.269290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -22.773996           -29.136290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -15.929973           -22.106290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -12.381920           -18.424290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -8.624726           -14.471290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -5.243391           -10.836290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -2.079382            -7.320290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.266534            -3.438290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -56.698931           -63.472290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -32.692986           -39.217290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -22.979993           -29.342290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -15.943972           -22.121290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -12.384920           -18.427290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -8.625725           -14.472290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -5.243391           -10.836290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -2.079382            -7.320290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.266534            -3.438290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -57.716293           -64.488290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -33.698856           -40.223290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -23.801953           -30.164290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -16.085962           -22.263290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -12.416914           -18.459290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -8.630722           -14.477290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -5.244385           -10.837290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -2.079382            -7.320290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.266534            -3.438290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -58.879556           -65.645290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -34.764541           -41.288290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -24.832545           -31.195290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -16.818802           -22.996290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -12.705835           -18.747290             -100.00  
