!29al -> 29mg, e- capture
!Q=-7.487 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -61.855000      -68.381290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -44.155000      -50.522290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -30.169998      -36.354290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -23.054992      -29.107290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -15.763936      -21.627290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -9.632833      -15.249290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -4.432247       -9.684290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.482001       -4.212290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -61.441000      -67.968290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -44.133000      -50.501290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -30.168998      -36.353290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -23.053992      -29.107290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -15.763936      -21.627290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -9.632833      -15.249290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -4.432247       -9.684290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.482001       -4.212290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -60.493000      -67.020290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -43.927000      -50.295290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -30.153998      -36.338290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -23.050992      -29.104290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -15.762936      -21.626290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -9.632833      -15.249290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -4.432247       -9.684290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.482001       -4.212290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -59.487000      -66.014290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -43.105000      -49.473290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -30.011999      -36.197290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -23.019992      -29.072290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -15.757937      -21.621290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -9.631833      -15.248290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -4.432247       -9.684290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.482001       -4.212290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -99.024440     -105.795290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -58.421000      -64.947290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -42.074000      -48.442290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -29.279000      -35.463290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -22.730996      -28.784290             -100.00  
