!31si -> 31p, beta-decay
!Q=1.49 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -4.148997            -9.992290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -4.146899            -9.989290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -4.118047            -9.946290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -4.026141            -9.817290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -3.740446            -9.437290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -3.138002            -8.606290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -1.615516            -6.770290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.326456            -3.365290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -4.148999            -9.992290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -4.146904            -9.989290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -4.118055            -9.946290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -4.026163            -9.817290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -3.740446            -9.437290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -3.138002            -8.606290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -1.615516            -6.770290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.326456            -3.365290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -4.149000            -9.993290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -4.149000            -9.992290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -4.146940            -9.990290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -4.118117            -9.946290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -4.026230            -9.817290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -3.740566            -9.437290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -3.138002            -8.606290             -100.00  
