!33s -> 33cl, beta-decay
!Q=-5.583 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -71.696000           -78.470290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -41.046000           -47.571290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -29.557999           -35.924290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -20.481992           -26.665290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -15.821964           -21.873290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -10.982806           -16.843290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -6.808124           -12.421290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.095927            -8.362290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.841574            -3.886290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -72.697000           -79.470290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -41.459000           -47.985290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -29.578999           -35.946290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -20.483992           -26.666290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -15.822964           -21.873290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -10.982806           -16.843290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -6.808124           -12.421290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.095927            -8.362290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.841574            -3.886290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -73.698000           -80.472290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -42.407000           -48.933290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -29.784999           -36.152290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -20.497992           -26.681290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -15.825964           -21.876290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -10.983806           -16.844290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -6.808124           -12.421290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.095927            -8.362290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.841574            -3.886290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -74.716000           -81.490290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -43.412996           -49.939290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -30.606994           -36.974290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -20.639989           -26.822290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -15.856961           -21.908290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -10.988804           -16.849290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -6.809122           -12.422290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.095927            -8.362290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.841574            -3.886290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -75.886995           -82.661290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -44.479956           -51.005290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -31.638942           -38.005290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -21.373943           -27.556290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -16.145926           -22.196290             -100.00  
