!34p -> 34si, e- capture
!Q=-4.566 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -66.946000      -73.718290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -41.306000      -47.829290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -29.916000      -36.278290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -20.851000      -27.028290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -16.212997      -22.257290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -11.426972      -17.278290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -7.340298      -12.943290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.787292       -9.030290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.297113       -4.382290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -65.945000      -72.718290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -40.893000      -47.416290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -29.894000      -36.257290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -20.849000      -27.027290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -16.212997      -22.256290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -11.426972      -17.278290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -7.340298      -12.943290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.787292       -9.030290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.297113       -4.382290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -64.944000      -71.716290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -39.945000      -46.468290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -29.688000      -36.051290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -20.835000      -27.012290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -16.208997      -22.253290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -11.425972      -17.278290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -7.340298      -12.943290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.787292       -9.030290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.297113       -4.382290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -63.926000      -70.698290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -38.938000      -45.462290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -28.866000      -35.229290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -20.693000      -26.871290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -16.177998      -22.222290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -11.420972      -17.272290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -7.339299      -12.942290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.787292       -9.030290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.297113       -4.382290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -62.755000      -69.527290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -37.872000      -44.395290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -27.835000      -34.197290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -19.960000      -26.137290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -15.888999      -21.933290             -100.00  
