!35s -> 35cl, beta-decay
!Q=0.167 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -7.052000           -13.774290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -7.051000           -13.774290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -7.051000           -13.774290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -7.051000           -13.774290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -7.049893           -13.761290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -7.016915           -13.476290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -6.629810           -12.430290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -6.025371           -11.647290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -5.091731           -10.614290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -3.855486            -9.261290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -1.910462            -7.079290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.315499            -3.387290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -7.053000           -13.776290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -7.052000           -13.774290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -7.052000           -13.774290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -7.052000           -13.774290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -7.051572           -13.769290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -7.018583           -13.487290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -6.631055           -12.432290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -6.026263           -11.647290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -5.091731           -10.614290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -3.855486            -9.261290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -1.910462            -7.079290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.315499            -3.387290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -7.065000           -13.793290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -7.057000           -13.781290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -7.055000           -13.778290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -7.054000           -13.776290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -7.052952           -13.774290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -7.031857           -13.575290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -6.639716           -12.446290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -6.028937           -11.650290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -5.092657           -10.614290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -3.855486            -9.261290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -1.910462            -7.079290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.315499            -3.387290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -7.124000           -13.875290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -7.103000           -13.843290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -7.087000           -13.820290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -7.073000           -13.799290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -7.063995           -13.787290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00       -7.055703           -13.745290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00       -6.721792           -12.579290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -6.056569           -11.681290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -5.097285           -10.619290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -3.856274            -9.262290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -1.911220            -7.079290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.315499            -3.387290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00       -7.450000           -14.328290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00       -7.424000           -14.279290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00       -7.363000           -14.176290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00       -7.256000           -14.018290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00       -7.169999           -13.908290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00       -7.127639           -13.853290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00       -7.000293           -13.208290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00       -6.301666           -11.960290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00       -5.145345           -10.670290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00       -3.862562            -9.269290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00       -1.911220            -7.080290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        1.315499            -3.387290             -100.00  
       6.000000        7.000000    1.163180e-06            0.00            0.00      -37.070000           -45.455290             -100.00  
       6.000000        8.000000    1.161578e-06            0.00            0.00      -12.306000           -19.704290             -100.00  
       6.000000        8.301030    1.159976e-06            0.00            0.00      -10.221000           -17.338290             -100.00  
       6.000000        8.602060    1.150363e-06            0.00            0.00       -8.815000           -15.712290             -100.00  
       6.000000        8.845098    1.121524e-06            0.00            0.00       -8.050000           -14.850290             -100.00  
       6.000000        9.000000    1.076663e-06            0.00            0.00       -7.706932           -14.472290             -100.00  
       6.000000        9.176091    9.677147e-07            0.00            0.00       -7.407476           -13.954290             -100.00  
       6.000000        9.301030    8.203144e-07            0.00            0.00       -6.961711           -12.829290             -100.00  
       6.000000        9.477121    4.790508e-07            0.00            0.00       -5.528774           -11.074290             -100.00  
       6.000000        9.698970    1.457981e-07            0.00            0.00       -3.925524            -9.337290             -100.00  
       6.000000       10.000000    3.204353e-08            0.00            0.00       -1.918264            -7.087290             -100.00  
       6.000000       10.477121    3.204353e-09            0.00            0.00        1.315499            -3.387290             -100.00  
       7.000000        7.000000    1.959462e-06            0.00            0.00      -99.698970          -105.795290             -100.00  
