!36ca -> 36k, e- capture
!Q=10.945 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00        0.805001       -4.415290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00        0.805000       -4.415290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00        0.805000       -4.415290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00        0.805000       -4.415290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00        0.805000       -4.415290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00        0.805008       -4.415290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00        0.805103       -4.415290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00        0.804457       -4.414290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00        0.806694       -4.411290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00        0.822808       -4.378290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00        1.069811       -3.952290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        2.693759       -1.881290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00        0.805006       -4.415290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00        0.805002       -4.415290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00        0.805002       -4.415290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00        0.805001       -4.415290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00        0.805001       -4.415290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00        0.805008       -4.415290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00        0.805103       -4.415290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00        0.804458       -4.414290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00        0.806694       -4.411290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00        0.822808       -4.378290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00        1.069811       -3.952290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        2.693759       -1.881290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00        0.805046       -4.415290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00        0.805020       -4.415290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00        0.805015       -4.415290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00        0.805011       -4.415290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00        0.805009       -4.415290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00        0.805013       -4.415290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00        0.805107       -4.415290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00        0.804461       -4.414290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00        0.806694       -4.411290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00        0.822808       -4.378290             -100.00  
