!38k -> 38ca, beta-decay
!Q=-6.742 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -86.537000           -93.311290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -49.633000           -56.159290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -35.649000           -42.017290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -24.641999           -30.827290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -19.023998           -25.078290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -13.242998           -19.108290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -8.335927           -13.958290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -4.056072            -9.338290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.335115            -4.410290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -87.537000           -94.311290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -50.046000           -56.573290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -35.671000           -42.039290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -24.642999           -30.828290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -19.023998           -25.078290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -13.242998           -19.108290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -8.335927           -13.958290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -4.056072            -9.338290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.335115            -4.410290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -88.538998           -95.313290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -50.993999           -57.521290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -35.876999           -42.245290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -24.656999           -30.842290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -19.027998           -25.081290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -13.243998           -19.109290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -8.335927           -13.958290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -4.056072            -9.338290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.335115            -4.410290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -89.556976           -96.331290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -51.999990           -58.527290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -36.698996           -43.067290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -24.798998           -30.984290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -19.058998           -25.113290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -13.248998           -19.114290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -8.336927           -13.958290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -4.056072            -9.339290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.335115            -4.410290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -90.726778           -97.502290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -53.066908           -59.594290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -37.729965           -44.098290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -25.532991           -31.718290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -19.347997           -25.401290             -100.00  
