!68fe -> 68co, beta-decay
!Q=-7.743 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   0.8410000000000089   -4.346289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   0.8410000000081618   -4.346289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   0.8410000006453336   -4.346289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   0.8410000063647933   -4.346289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   0.8410000274652969   -4.346289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   0.8410000840977292   -4.346289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   0.8410002083455396   -4.346289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.8410038351503446   -4.346289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.8410199882290345   -4.345289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0    0.851139224189193   -4.333289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.9124370848470605   -4.261289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   1.0619169080309734   -4.091289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.4622223457860548   -3.655289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.5228784574941114   -3.582289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9831446588900665  -2.7212896062650143               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.782166226857711   0.6027103937349855               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   0.8410000000000027   -4.346289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   0.8410000000025929   -4.346289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0    0.841000000268401   -4.346289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   0.8410000048504754   -4.346289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   0.8410000253971098   -4.346289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   0.8410000818058329   -4.346289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   0.8410002059606284   -4.346289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.8410038351503446   -4.346289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.8410199882290345   -4.345289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0    0.851139224189193   -4.333289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.9124370848470605   -4.261289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0   1.0619169080309734   -4.091289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.4622223457860548   -3.655289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.5228784574941114   -3.582289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9831446588900665  -2.7212896062650143               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.782166226857711   0.6027103937349855               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0                0.841   -4.346289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0   0.8410000000000009   -4.346289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0   0.8410000000008199   -4.346289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0   0.8410000000886715   -4.346289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0   0.8410000024648149   -4.346289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   0.8410000200347673   -4.346289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   0.8410000749521809   -4.346289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0   0.8410001985108331   -4.346289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.8410038263297824   -4.346289606265014               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.8410199882290345   -4.345289606265014               -100.0
