!69br -> 69se, e- capture
!Q=-10.175 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0   0.9030007529808561   -4.221289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0   0.9030002397641193   -4.221289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0   0.9030001701313023   -4.221289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0   0.9030001398892177   -4.221289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   0.9030001221192843   -4.221289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   0.9030001108623948   -4.221289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   0.9030001405349168   -4.221289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   0.9030004176227054   -4.221289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   0.9030013025177791   -4.221289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   0.9030033867459328   -4.221289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   0.9030074951540547   -4.221289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.9030969919776046   -4.221289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.9034107512743262   -4.220289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.9052576416133065   -4.217289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.9095389906100322  -4.2072896062650145               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0    0.916276653842869   -4.190289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0      0.9539561756307   -4.101289606265015               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.0295897958492088   -3.937289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2238174331337612   -2.288289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0   4.4140846724203895   0.3077103937349856               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0   0.9030023538735799   -4.221289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0    0.903000756456455   -4.221289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0   0.9030005380021885   -4.221289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0   0.9030004423683939   -4.221289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   0.9030003861749671   -4.221289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   0.9030003489668208   -4.221289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   0.9030003378968494   -4.221289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   0.9030005467440154   -4.221289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0    0.903001405347122   -4.221289606265014               -100.0
