!70ga -> 70ge, beta-decay
!Q=-1.652 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -3.272   -9.067289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -3.2709999999994044   -9.066289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   -3.267999999427488   -9.063289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -3.2629999533572347   -9.057289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -3.255999530339456   -9.050289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -3.248997930891443   -9.041289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -3.239993576361395   -9.031289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -3.2309838275348093   -9.021289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.1916876596218575   -8.973289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -3.170286329997477   -8.935289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1401953923025014   -8.842289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.0695957220775374   -8.684289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.9496473281393385   -8.473289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0    -1.97365957951626   -7.148289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -3.272   -9.067289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -3.2709999999998116   -9.066289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0    -3.26799999981812   -9.063289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  -3.2629999806453953   -9.057289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0  -3.2559996412564245   -9.050289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -3.2489980822881477   -9.041289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   -3.239993751422121   -9.031289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0  -3.2309840494252753   -9.021289606265015               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.1916876596218575   -8.973289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -3.170286329997477   -8.935289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1401953923025014   -8.842289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.0695957220775374   -8.684289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.9496473281393385   -8.473289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0    -1.97365957951626   -7.148289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0               -3.272   -9.067289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0  -3.2709999999999404   -9.066289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0  -3.2679999999424845   -9.063289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0   -3.262999993605828   -9.057289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0  -3.2559998181203036   -9.050289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   -3.248998490672251   -9.041289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0  -3.2399942749214627   -9.031289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  -3.2309846263629254   -9.021289606265015               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.1916883777271288   -8.973289606265014               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -3.170286329997477   -8.935289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1401953923025014   -8.842289606265014               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.0695957220775374   -8.684289606265015               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.9496473281393385   -8.473289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0    -1.97365957951626   -7.148289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0               -3.272   -9.067289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0  -3.2709999999999813   -9.066289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0  -3.2679999999818117   -9.063289606265014               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0   -3.262999997982636   -9.057289606265014               -100.0
  2.5                  8.8450980   -6.13633650822e-07                  0.0                  0.0  -3.2559999357631435   -9.050289606265014               -100.0
  2.5                  8.9030900   -7.11366425496e-07                  0.0                  0.0  -3.2489991894423556   -9.041289606265014               -100.0
  2.5                  8.9542425    -7.6904478432e-07                  0.0                  0.0   -3.239995616892526   -9.031289606265014               -100.0
  2.5                  9.0000000   -7.94679610464e-07                  0.0                  0.0  -3.2309863297179193   -9.021289606265015               -100.0
  2.5                  9.1760913   -8.15507906706e-07                  0.0                  0.0   -3.191691233681944   -8.973289606265014               -100.0
  2.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -3.1702902635811503   -8.935289606265014               -100.0
  2.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1401953923025014   -8.842289606265014               -100.0
  2.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.0695957220775374   -8.684289606265015               -100.0
  2.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.9496473281393385   -8.473289606265014               -100.0
  2.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  2.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0    -1.97365957951626   -7.148289606265014               -100.0
  2.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  2.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  3.0                  7.0000000      3.204353268e-09                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  3.0                  8.0000000    -2.8839179412e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  3.0                  8.3010300     -8.811971487e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  3.0                  8.4771213   -1.58615486766e-07                  0.0                  0.0               -3.272   -9.068289606265015               -100.0
  3.0                  8.6020600   -2.37122141832e-07                  0.0                  0.0   -3.270999999999994   -9.066289606265014               -100.0
  3.0                  8.6989700     -3.204353268e-07                  0.0                  0.0  -3.2679999999942617   -9.063289606265014               -100.0
  3.0                  8.7781513   -4.10157218304e-07                  0.0                  0.0  -3.2629999993576315   -9.057289606265014               -100.0
  3.0                  8.8450980   -5.03083463076e-07                  0.0                  0.0   -3.256999979403933   -9.050289606265014               -100.0
  3.0                  8.9030900   -5.99214061116e-07                  0.0                  0.0  -3.2489997084022524   -9.041289606265014               -100.0
  3.0                  8.9542425   -6.85731599352e-07                  0.0                  0.0   -3.239997777799709   -9.031289606265014               -100.0
  3.0                  9.0000000   -7.46614311444e-07                  0.0                  0.0   -3.230990410863148   -9.021289606265015               -100.0
  3.0                  9.1760913   -8.10701376804e-07                  0.0                  0.0   -3.191698259620391   -8.973289606265014               -100.0
  3.0                  9.3010300    -8.1711008334e-07                  0.0                  0.0   -3.170298103734603   -8.935289606265014               -100.0
  3.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -3.140224413143822   -8.842289606265014               -100.0
  3.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.0695957220775374   -8.684289606265015               -100.0
  3.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.9496473281393385   -8.473289606265014               -100.0
  3.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  3.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0    -1.97365957951626   -7.148289606265014               -100.0
  3.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  3.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  3.5                  7.0000000       8.01088317e-09                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  3.5                  8.0000000    -1.1215236438e-08                  0.0                  0.0               -3.273   -9.069289606265015               -100.0
  3.5                  8.3010300    -5.4474005556e-08                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  3.5                  8.4771213   -1.10550187746e-07                  0.0                  0.0               -3.273   -9.068289606265015               -100.0
  3.5                  8.6020600   -1.73035076472e-07                  0.0                  0.0   -3.271999999999998   -9.067289606265014               -100.0
  3.5                  8.6989700     -2.403264951e-07                  0.0                  0.0  -3.2679999999981977   -9.063289606265014               -100.0
  3.5                  8.7781513   -3.14026620264e-07                  0.0                  0.0  -3.2629999997977985   -9.058289606265014               -100.0
  3.5                  8.8450980    -3.9253327533e-07                  0.0                  0.0  -3.2569999935019314   -9.050289606265014               -100.0
  3.5                  8.9030900    -4.7264210703e-07                  0.0                  0.0   -3.248999905857817   -9.041289606265014               -100.0
  3.5                  8.9542425   -5.55955291998e-07                  0.0                  0.0   -3.239999211532282   -9.031289606265014               -100.0
  3.5                  9.0000000   -6.36064123698e-07                  0.0                  0.0  -3.2309956968928564   -9.021289606265015               -100.0
  3.5                  9.1760913   -7.94679610464e-07                  0.0                  0.0   -3.191721615461027   -8.973289606265014               -100.0
  3.5                  9.3010300   -8.12303553438e-07                  0.0                  0.0  -3.1703291071638033   -8.936289606265014               -100.0
  3.5                  9.4771213    -8.1711008334e-07                  0.0                  0.0  -3.1402533691717625   -8.842289606265014               -100.0
  3.5                  9.6020600    -8.1711008334e-07                  0.0                  0.0  -3.0705957220775377   -8.684289606265015               -100.0
  3.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.9496473281393385   -8.473289606265014               -100.0
  3.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  3.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0    -1.97365957951626   -7.148289606265014               -100.0
  3.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  3.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  4.0                  7.0000000     1.9226119608e-08                  0.0                  0.0               -3.275   -9.072289606265015               -100.0
  4.0                  8.0000000       8.01088317e-09                  0.0                  0.0               -3.274   -9.071289606265013               -100.0
  4.0                  8.3010300    -2.0828296242e-08                  0.0                  0.0               -3.274   -9.070289606265014               -100.0
  4.0                  8.4771213    -6.0882712092e-08                  0.0                  0.0               -3.274   -9.069289606265015               -100.0
  4.0                  8.6020600   -1.07345834478e-07                  0.0                  0.0  -3.2719999999999994   -9.068289606265015               -100.0
  4.0                  8.6989700     -1.602176634e-07                  0.0                  0.0   -3.268999999999442   -9.064289606265014               -100.0
  4.0                  8.7781513   -2.17896022224e-07                  0.0                  0.0  -3.2639999999369356   -9.058289606265014               -100.0
  4.0                  8.8450980    -2.8038091095e-07                  0.0                  0.0   -3.256999997968652   -9.051289606265014               -100.0
  4.0                  8.9030900   -3.46070152944e-07                  0.0                  0.0  -3.2489999704345633   -9.042289606265014               -100.0
  4.0                  8.9542425   -4.13361571572e-07                  0.0                  0.0   -3.239999748936149   -9.032289606265014               -100.0
  4.0                  9.0000000   -4.85459520102e-07                  0.0                  0.0   -3.231998548611808   -9.022289606265014               -100.0
  4.0                  9.1760913   -7.43409958176e-07                  0.0                  0.0   -3.192781387495116   -8.974289606265014               -100.0
  4.0                  9.3010300   -7.96281787098e-07                  0.0                  0.0   -3.170415137319558   -8.936289606265014               -100.0
  4.0                  9.4771213   -8.12303553438e-07                  0.0                  0.0   -3.140368547954309   -8.842289606265014               -100.0
  4.0                  9.6020600   -8.15507906706e-07                  0.0                  0.0   -3.070688649155393   -8.685289606265014               -100.0
  4.0                  9.6989700    -8.1711008334e-07                  0.0                  0.0  -2.9498424226130577   -8.473289606265014               -100.0
  4.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.4961921950303814   -7.818289606265014               -100.0
  4.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9743014990561196   -7.148289606265014               -100.0
  4.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  4.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  4.5                  7.0000000      4.005441585e-08                  0.0                  0.0               -3.278   -9.076289606265014               -100.0
  4.5                  8.0000000     3.5247885948e-08                  0.0                  0.0               -3.277   -9.075289606265015               -100.0
  4.5                  8.3010300     1.9226119608e-08                  0.0                  0.0               -3.277   -9.074289606265014               -100.0
  4.5                  8.4771213     -6.408706536e-09                  0.0                  0.0               -3.276   -9.073289606265014               -100.0
  4.5                  8.6020600    -3.8452239216e-08                  0.0                  0.0               -3.274   -9.071289606265013               -100.0
  4.5                  8.6989700    -7.5302301798e-08                  0.0                  0.0   -3.270999999999834   -9.067289606265014               -100.0
  4.5                  8.7781513   -1.18561070916e-07                  0.0                  0.0   -3.265999999980911   -9.061289606265014               -100.0
  4.5                  8.8450980   -1.65024193302e-07                  0.0                  0.0   -3.258999999379439   -9.053289606265015               -100.0
  4.5                  8.9030900   -2.14691668956e-07                  0.0                  0.0    -3.25099999088442   -9.044289606265014               -100.0
  4.5                  8.9542425   -2.67563497878e-07                  0.0                  0.0   -3.241999922055716   -9.034289606265014               -100.0
  4.5                  9.0000000   -3.23639680068e-07                  0.0                  0.0   -3.232999545238088   -9.024289606265015               -100.0
  4.5                  9.1760913   -6.12031474188e-07                  0.0                  0.0  -3.1928841952408584   -8.976289606265015               -100.0
  4.5                  9.3010300   -7.48216488078e-07                  0.0                  0.0  -3.1706661186514498   -8.936289606265014               -100.0
  4.5                  9.4771213      -8.01088317e-07                  0.0                  0.0   -3.140735840189662   -8.843289606265014               -100.0
  4.5                  9.6020600   -8.10701376804e-07                  0.0                  0.0   -3.071058422029459   -8.686289606265014               -100.0
  4.5                  9.6989700   -8.13905730072e-07                  0.0                  0.0    -2.95023152808677   -8.474289606265014               -100.0
  4.5                  9.8750613    -8.1711008334e-07                  0.0                  0.0  -2.4961921950303814   -7.819289606265015               -100.0
  4.5                 10.0000000    -8.1711008334e-07                  0.0                  0.0  -1.9743014990561196   -7.148289606265014               -100.0
  4.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2977036000756417   -3.393289606265014               -100.0
  4.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.387006078287976  0.19471039373498605               -100.0
  5.0                  7.0000000     8.4915361602e-08                  0.0                  0.0               -3.285   -9.086289606265014               -100.0
  5.0                  8.0000000     8.3313184968e-08                  0.0                  0.0               -3.284   -9.085289606265015               -100.0
  5.0                  8.3010300     7.5302301798e-08                  0.0                  0.0               -3.283   -9.084289606265015               -100.0
  5.0                  8.4771213     6.0882712092e-08                  0.0                  0.0               -3.282   -9.083289606265014               -100.0
  5.0                  8.6020600     4.1656592484e-08                  0.0                  0.0                -3.28   -9.080289606265014               -100.0
  5.0                  8.6989700     1.7623942974e-08                  0.0                  0.0  -3.2759999999999567   -9.076289606265014               -100.0
  5.0                  8.7781513    -1.1215236438e-08                  0.0                  0.0  -3.2709999999947543   -9.069289606265015               -100.0
  5.0                  8.8450980    -4.3258769118e-08                  0.0                  0.0   -3.263999999823077   -9.061289606265014               -100.0
  5.0                  8.9030900    -7.8506655066e-08                  0.0                  0.0  -3.2549999973467125   -9.051289606265014               -100.0
  5.0                  8.9542425   -1.15356717648e-07                  0.0                  0.0  -3.2459999768908325   -9.041289606265014               -100.0
  5.0                  9.0000000   -1.57013310132e-07                  0.0                  0.0   -3.236999863295049   -9.030289606265015               -100.0
  5.0                  9.1760913   -3.94135451964e-07                  0.0                  0.0   -3.195959096180881   -8.980289606265014               -100.0
