!71co -> 71ni, beta-decay
!Q=-11.036 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   0.5310000000000029   -4.506289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   0.5330000000027026   -4.504289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   0.5350000002146764   -4.502289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   0.5380000021173094   -4.499289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   0.5420000091576556   -4.495289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0    0.546000028040406   -4.491289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   0.5500000696280571   -4.486289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.5730012699413851   -4.463289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0    0.596006603603811   -4.439289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6480451608108228   -4.385289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.7091454492829727   -4.321289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.7793323671683855   -4.245289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.9773524086240388   -4.033289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.1636221960654547   -3.835289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0    2.116843359683525   -2.642289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.776574773706495   0.5947103937349856               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   0.5310000000000009   -4.506289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   0.5330000000008586   -4.504289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   0.5350000000890809   -4.502289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   0.5380000016172767   -4.499289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   0.5420000084680674   -4.495289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   0.5460000272762271   -4.491289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   0.5500000686727244   -4.486289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.5730012699413851   -4.463289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0    0.596006603603811   -4.439289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6480451608108228   -4.385289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.7091454492829727   -4.321289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.7793323671683855   -4.245289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.9773524086240388   -4.033289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.1636221960654547   -3.835289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0    2.116843359683525   -2.642289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.776574773706495   0.5947103937349856               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0   0.5310000000000004   -4.506289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0   0.5330000000002715   -4.504289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0   0.5350000000294296   -4.502289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0   0.5380000008218345   -4.499289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   0.5420000066801207   -4.495289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   0.5460000249910383   -4.491289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0   0.5500000661887652   -4.486289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.5730012670206053   -4.463289606265014               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0    0.596006603603811   -4.439289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6480451608108228   -4.385289606265014               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.7091454492829727   -4.321289606265014               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.7793323671683855   -4.245289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.9773524086240388   -4.033289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.1636221960654547   -3.835289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0    2.116843359683525   -2.642289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.776574773706495   0.5947103937349856               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0                0.531   -4.506289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0   0.5310000000000001   -4.506289606265014               -100.0
