!74ge -> 74ga, e- capture
!Q=5.373 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -78.562   -85.33728960626502               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0                -64.4   -71.07628960626502               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0               -54.89   -61.48628960626502               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -47.646   -54.17428960626501               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -42.018   -48.48628960626502               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -37.664  -44.079289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -33.915  -40.280289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -23.065  -29.233289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -17.679  -23.714289606265016               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0              -12.184  -18.030289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -9.350990255053958  -15.062289606265013               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -7.583788320662639  -13.193289606265013               -100.0
