!76as -> 76ge, e- capture
!Q=-0.921 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0  -11.709999993365866  -17.555289606265013               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -10.707976731270183  -16.548289606265016               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0  -10.383488873117846  -16.216289606265015               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -10.227700496619846  -16.055289606265013               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -10.140541763681687  -15.964289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   -9.958044919991066  -15.777289606265013               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -9.437785038039744  -15.247289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -8.912723132828566  -14.714289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -8.475433107339663  -14.270289606265013               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0    -8.11371904043363  -13.903289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -6.911977778508746  -12.690289606265013               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -6.083996750753299  -11.875289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -4.789999825504503  -10.533289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.8679987329793946   -9.507289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -3.1879888627301463   -8.728289606265013               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.0327710873199885   -7.385289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   -1.267099810094416   -6.483289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0    2.004406586974043   -2.552289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159110848261446   1.0487103937349862               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0  -11.209999997902104  -17.055289606265013               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0  -10.207992641646765  -16.048289606265016               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0   -9.883838302442413  -15.716289606265013               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   -9.729271515998715  -15.555289606265013               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   -9.646258540853013  -15.466289606265013               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -9.581093767302614  -15.395289606265013               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -9.321542153206059  -15.129289606265013               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   -8.879816434236494  -14.680289606265013               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   -8.463448546934112  -14.258289606265013               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -8.108722255523007  -13.898289606265013               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -6.911977778508746  -12.690289606265013               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -6.083996750753299  -11.875289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -4.789999825504503  -10.533289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.8679987329793946   -9.507289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -3.1879888627301463   -8.728289606265013               -100.0
