!76ni -> 76cu, beta-decay
!Q=-8.792 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0    0.460000000000005  -4.6702896062650145               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   0.4600000000047074  -4.6702896062650145               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   0.4600000003756508  -4.6702896062650145               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   0.4600000037306483  -4.6702896062650145               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  0.46000001617276604  -4.6702896062650145               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   0.4600000496345726  -4.6702896062650145               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  0.46000012353335873  -4.6702896062650145               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.4600022897241591  -4.6702896062650145               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  0.46401198887181794   -4.666289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.5460786583770689   -4.571289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.8302166087531291   -4.259289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   1.1864462324777316   -3.884289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0    1.761753506028408   -3.296289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.9827468849622036   -3.067289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9832574045680031   -2.760289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.824232096321823    0.638710393734986               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  0.46000000000000163  -4.6702896062650145               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   0.4600000000014955  -4.6702896062650145               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  0.46000000015623715  -4.6702896062650145               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   0.4600000028430488  -4.6702896062650145               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   0.4600000149549272  -4.6702896062650145               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   0.4600000482818928  -4.6702896062650145               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0  0.46000012211928426  -4.6702896062650145               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.4600022897241591  -4.6702896062650145               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  0.46401198887181794   -4.666289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.5460786583770689   -4.571289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.8302166087531291   -4.259289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0   1.1864462324777316   -3.884289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0    1.761753506028408   -3.296289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.9827468849622036   -3.067289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9832574045680031   -2.760289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.824232096321823    0.638710393734986               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0   0.4600000000000005  -4.6702896062650145               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0    0.460000000000474  -4.6702896062650145               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0  0.46000000005161595  -4.6702896062650145               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0   0.4600000014447221  -4.6702896062650145               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   0.4600000117973457  -4.6702896062650145               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   0.4600000442368597  -4.6702896062650145               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  0.46000011770211113  -4.6702896062650145               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.4600022844579535  -4.6702896062650145               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.4640119612985576   -4.666289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.5460786583770689   -4.571289606265014               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.8302166087531291   -4.259289606265014               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   1.1864462324777316   -3.884289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0    1.761753506028408   -3.296289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.9827468849622036   -3.067289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9832574045680031   -2.760289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.824232096321823    0.638710393734986               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0                 0.46  -4.6702896062650145               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0  0.46000000000000013  -4.6702896062650145               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0   0.4600000000001495  -4.6702896062650145               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0  0.46000000001639774  -4.6702896062650145               -100.0
