!76zn -> 76ga, beta-decay
!Q=-3.994 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -0.8829999999999352   -6.367289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -0.8829999999385129   -6.367289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -0.8829999950251005   -6.367289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -0.8829999501363246   -6.367289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -0.882999781332519   -6.367289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -0.8829993211341349   -6.367289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8829982986899768   -6.367289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -0.8819677322876078   -6.363289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -0.8768314611449951   -6.350289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -0.7989947326423615   -6.226289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -0.6036253672456439   -5.969289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0 -0.33605713970147477   -5.660289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0    0.477700962541427   -4.799289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.0437854552391603   -4.193289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6089539174615815   -3.106289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.675024647449616   0.4837103937349857               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -0.883   -6.367289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -0.8829999999999795   -6.367289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0  -0.8829999999804663   -6.367289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  -0.8829999979308865   -6.367289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0    -0.88299996191234   -6.367289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -0.8829997973324535   -6.367289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -0.8829993396351005   -6.367289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0  -0.8829983181646739   -6.367289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -0.8819677322876078   -6.363289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -0.8768314611449951   -6.350289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -0.7989947326423615   -6.226289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -0.6036253672456439   -5.969289606265014               -100.0
