!77sr -> 77y, beta-decay
!Q=11.363 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -84.778   -91.31128960626502               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -23.415  -29.354289606265016               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0                -21.4  -27.323289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0               -19.78  -25.687289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -14.782  -20.611289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -12.119  -17.876289606265015               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0               -9.176  -14.807289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0               -7.477  -13.005289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0               -6.318  -11.760289606265014               -100.0
