!78as -> 78ge, e- capture
!Q=0.955 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0              -59.491   -66.86728960626502               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -34.993  -42.063289606265016               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -26.711   -33.59828960626501               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -22.512  -29.269289606265016               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -19.956  -26.611289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -18.094  -24.665289606265016               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -16.346  -22.845289606265016               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -14.883  -21.320289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -13.704  -20.086289606265016               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -12.742  -19.074289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0               -9.734  -15.871289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0                -8.12  -14.117289606265013               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -6.315999983827234  -12.118289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -5.197998501062372  -10.868289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -4.345984340550826   -9.919289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.8497757811106315   -8.242289606265015               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.8770935767831887   -7.133289606265015               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.7898046076974987   -2.776289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.135098114964916   1.0237103937349858               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -58.99   -66.36728960626502               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0              -34.493  -41.563289606265016               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0              -26.211   -33.09828960626501               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0              -22.012  -28.769289606265016               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0               -19.46  -26.113289606265017               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0              -17.715  -24.284289606265016               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0              -16.229  -22.728289606265015               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0              -14.849  -21.286289606265015               -100.0
