!79rb -> 79sr, beta-decay
!Q=5.323 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0              -68.315   -74.37528960626501               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -36.03   -42.07128960626502               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -24.982  -31.005289606265016               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -19.327  -25.330289606265016               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -15.842  -21.835289606265015               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -13.588  -19.565289606265015               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -12.327  -18.284289606265016               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0               -11.48  -17.420289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -10.819  -16.742289606265015               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -10.275  -16.182289606265016               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0               -8.481  -14.311289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0               -7.412  -13.169289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0               -6.057  -11.689289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0               -5.138  -10.666289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0               -4.421   -9.863289606265013               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0               -3.103   -8.380289606265015               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0                 -2.3  -7.4572896062650145               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0                0.818  -3.9172896062650144               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0                4.056 -0.14628960626501414               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0              -68.815   -74.87628960626502               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -36.53   -42.57228960626502               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0              -25.482  -31.505289606265016               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0              -19.824  -25.830289606265016               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0               -16.34  -22.329289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0              -13.973  -19.942289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0              -12.448  -18.401289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0              -11.513  -17.454289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0              -10.831  -16.754289606265015               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0               -10.28  -16.187289606265015               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0               -8.482  -14.312289606265013               -100.0
