!80br -> 80kr, beta-decay
!Q=-2.005 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -3.223   -8.949289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -3.232   -8.959289606265015               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -3.309   -9.035289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -3.407   -9.133289606265015               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   -3.492999999999752   -9.220289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -3.5609999997552153   -9.287289606265015               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   -3.613999979403933   -9.339289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -3.6539997853236494   -9.379289606265015               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -3.686999014211339   -9.410289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -3.7129968027049696   -9.436289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -3.7359916096492567   -9.458289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.8037964446461014   -9.523289606265015               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -3.823728990923984   -9.531289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.7658446073333534   -9.429289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -3.625103823895909   -9.220289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -3.4339710229351845   -8.955289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.8613757263012167   -8.223289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -2.2965418509535627   -7.522289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2073974212514584   -3.496289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0   4.3780077229006835  0.17871039373498607               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -3.223   -8.949289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -3.232   -8.959289606265015               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -3.309   -9.035289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -3.407   -9.133289606265015               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   -3.492999999999922   -9.220289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   -3.560999999922235   -9.287289606265015               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -3.613999991433877   -9.339289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -3.653999836022512   -9.379289606265015               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -3.6869990884429473   -9.410289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -3.7129968898398236   -9.436289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0    -3.73599170569189   -9.458289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.8037964446461014   -9.523289606265015               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -3.823728990923984   -9.531289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.7658446073333534   -9.429289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -3.625103823895909   -9.220289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -3.4339710229351845   -8.955289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.8613757263012167   -8.223289606265014               -100.0
