!25Mg -> 25Na,  e-capture     with screening effects
!USDB           Q=-3.8349 MeV
!Transitions from 5/2+, 1/2+, 3/2+, 7/2+ and 5/2+(2nd) states of 25Mg are included.
!Experimental data used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!Log(g/cm^3)      Log(K)            erg          erg          erg          Log(1/s)          Log(erg/s)       Log(erg/s)
7.00              7.00              1.96779e-06  5.09492e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.20              1.96587e-06  5.07249e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.40              1.96315e-06  5.04045e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.60              1.96090e-06  4.99719e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.80              1.95946e-06  4.93951e-08  1.48362e-08  -2.61230e+02      -2.68805e+02     -2.75455e+02
7.00              8.00              1.95850e-06  4.86421e-08  1.48362e-08  -1.67410e+02      -1.74795e+02     -1.78975e+02
7.00              8.05              1.95834e-06  4.84178e-08  1.48362e-08  -1.49920e+02      -1.57265e+02     -1.60995e+02
7.00              8.10              1.95818e-06  4.81775e-08  1.48362e-08  -1.34320e+02      -1.41605e+02     -1.44955e+02
7.00              8.15              1.95802e-06  4.79211e-08  1.48362e-08  -1.20410e+02      -1.27645e+02     -1.30645e+02
7.00              8.20              1.95786e-06  4.76487e-08  1.48362e-08  -1.07970e+02      -1.15155e+02     -1.17865e+02
7.00              8.25              1.95770e-06  4.73603e-08  1.48362e-08  -9.68890e+01      -1.04019e+02     -1.06465e+02
7.00              8.30              1.95738e-06  4.70559e-08  1.48362e-08  -8.69870e+01      -9.40663e+01     -9.62883e+01
7.00              8.35              1.95706e-06  4.67195e-08  1.48362e-08  -7.81450e+01      -8.51723e+01     -8.72053e+01
7.00              8.40              1.95658e-06  4.63670e-08  1.48362e-08  -7.02490e+01      -7.72273e+01     -7.90923e+01
7.00              8.45              1.95594e-06  4.59985e-08  1.48362e-08  -6.31990e+01      -7.01253e+01     -7.18473e+01
7.00              8.50              1.95530e-06  4.55979e-08  1.48362e-08  -5.68950e+01      -6.37703e+01     -6.53743e+01
7.00              8.55              1.95434e-06  4.51814e-08  1.48362e-08  -5.12610e+01      -5.80863e+01     -5.95903e+01
7.00              8.60              1.95321e-06  4.47328e-08  1.48362e-08  -4.62210e+01      -5.29953e+01     -5.44173e+01
7.00              8.65              1.95177e-06  4.42681e-08  1.48362e-08  -4.17120e+01      -4.84353e+01     -4.97933e+01
7.00              8.70              1.94985e-06  4.37715e-08  1.48362e-08  -3.76770e+01      -4.43493e+01     -4.56563e+01
7.00              8.75              1.94761e-06  4.32588e-08  1.48362e-08  -3.40650e+01      -4.06853e+01     -4.19533e+01
7.00              8.80              1.94472e-06  4.26980e-08  1.48362e-08  -3.08260e+01      -3.73963e+01     -3.86383e+01
7.00              8.85              1.94104e-06  4.21212e-08  1.48362e-08  -2.79250e+01      -3.44433e+01     -3.56683e+01
7.00              8.90              1.93639e-06  4.15124e-08  1.48362e-08  -2.53220e+01      -3.17883e+01     -3.30063e+01
7.00              8.95              1.93062e-06  4.08875e-08  1.48362e-08  -2.29860e+01      -2.94013e+01     -3.06193e+01
7.00              9.00              1.92325e-06  4.02146e-08  1.48362e-08  -2.08880e+01      -2.72513e+01     -2.84763e+01
7.00              9.05              1.91396e-06  3.95257e-08  1.48362e-08  -1.90040e+01      -2.53143e+01     -2.65533e+01
7.00              9.10              1.90242e-06  3.87887e-08  1.48362e-08  -1.73080e+01      -2.35673e+01     -2.48233e+01
7.00              9.15              1.88768e-06  3.80357e-08  1.48362e-08  -1.57830e+01      -2.19883e+01     -2.32683e+01
7.00              9.20              1.86926e-06  3.72506e-08  1.48362e-08  -1.44080e+01      -2.05613e+01     -2.18673e+01
7.00              9.25              1.84587e-06  3.64335e-08  1.48362e-08  -1.31700e+01      -1.92703e+01     -2.06053e+01
7.00              9.30              1.81639e-06  3.56004e-08  1.48362e-08  -1.20540e+01      -1.81003e+01     -1.94653e+01
7.00              9.35              1.77922e-06  3.47352e-08  1.48362e-08  -1.10470e+01      -1.70393e+01     -1.84353e+01
7.00              9.40              1.73259e-06  3.38380e-08  1.48362e-08  -1.01370e+01      -1.60763e+01     -1.75003e+01
7.00              9.45              1.67411e-06  3.58888e-08  1.48362e-08  -9.31810e+00      -1.52028e+01     -1.66513e+01
7.00              9.50              1.60106e-06  3.19634e-08  1.48362e-08  -8.57230e+00      -1.44024e+01     -1.58683e+01
7.00              9.55              1.51053e-06  3.09861e-08  1.48362e-08  -7.90020e+00      -1.36753e+01     -1.51474e+01
7.00              9.60              1.39966e-06  2.99607e-08  1.48362e-08  -7.29040e+00      -1.30103e+01     -1.44690e+01
7.00              9.65              1.26732e-06  2.89193e-08  1.48362e-08  -6.73490e+00      -1.23993e+01     -1.38150e+01
8.00              7.00              3.91876e-06  1.10342e-07  3.06657e-08  -6.73490e+00      -5.05795e+02     -5.05795e+02
8.00              7.20              3.91924e-06  1.10037e-07  3.06657e-08  -6.73490e+00      -5.05795e+02     -5.05795e+02
