Label|Author|Title|Publisher|Year|
6an9CYBT|Cyburt, R.H.|evaluation of He6(a,n)Be9 data|-|2010
ac12|Arnold, C.W.|Cross Section Measurement of 9Be(&gamma;,n)8Be and Implications for &alpha;+&alpha;+n -> 9Be in the r-Process|PRC 85,4|2012
an06|S. Ando|Radiative neutron capture on a proton at big-bang nucleosynthesis energies|PRC 74, 025809|2006
ba00|D.W. Bardayan et al.|The astrophysically important 3+ state in Ne18 and the F17(p,&gamma;)Ne18 stellar rate|PRC 62, 055804|2000
baka|Z Y Bao|Neutron Capture Cross Sections for s-Process Studies|ADNDT 36, 411|1987
bb92|T Rauscher|Production of heavy elements in inhomogeneous cosmologies|ApJ 429, 499|1994
be13|A. Best et al.|Measurement of the reaction 17O(?,n)20Ne and its impact on the s process in massive stars|PHYSICAL REVIEW C 87, 045805 (2013)|2013
bec|-|experimental electron-capture rates|-|0
bet+|-|experimental beta-plus rates|-|-
bet-|-|experimental beta-minus rates|-|0
bex+|-|-|-|-
bg11|Best, A.|First direct measurement of resonance strengths in 17O(&alpha;,&gamma;)21Ne|PRC 83, 052802(R)|2011
bh06|Bardayan, D.W. et al|Astrophysically important <sup>26</sup>Si states studied with the <sup>28</sup>Si( p, t)<sup>26</sup>Si reaction. II. Spin of the|PRC 74, 045804|2006
bhi+|M. Hirsch|theoretical beta decay rates|Data Nucl. Data Tables 53 165|1995
bk91|C.R. Brune|Cross sections for H3(Li7,n<sub>0</sub>)Be9 and H3(Li7,n<sub>tot</sub>)|PRC 43, 875|1991
bk92|C.R. Brune|Total cross sections and thermonuclear reaction rates for C13(d,n) and C14(d,n)|PRC 45, 1382|1992
bkmo|H V Klapdor|Beta-Decay Half-Lives of Neutron-Rich Nuclei|ADNDT 31, 81|1984
bqa+|P. Moller|theoretical beta decay rates|At. Data Nucl. Data Tables 66|1997
br10|Burda, O et al.|Resonance parameters of the first 1/2+ state in 9Be and astrophysical implications|PRC 82, 015808|2010
BS99|Bradfield-Smith, W|Breakout from the hot CNO cycle via the 18Ne(&alpha;,p)21Na reaction|PhRvC 59, 6, p3402|1999
btyk|K Takahashi|Beta-Decay Half-Lives Calculated on the Gross Theory|ADNDT 12, 101|1973
