!19Ne (1/2+, 5/2+, 3/2+) -> 19F    e-capture   with screening effects
!USDB ,   GT+Fermi,   Q (19Ne-19F) = 3.2394 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 
  
1.000000e+07 1.000000e+07 1.955461e-06 4.471684e-08 1.235281e-08 9.792645e-02 5.794705e-07 2.723399e-10
1.000000e+07 1.584893e+07 1.953538e-06 4.446049e-08 1.235281e-08 9.571941e-02 5.657458e-07 2.657733e-10
1.000000e+07 2.511886e+07 1.950814e-06 4.412404e-08 1.235281e-08 9.468910e-02 5.591796e-07 2.626100e-10
1.000000e+07 3.981072e+07 1.948571e-06 4.365941e-08 1.235281e-08 9.464551e-02 5.590251e-07 2.625496e-10
1.000000e+07 6.309573e+07 1.947129e-06 4.305058e-08 1.235281e-08 9.490738e-02 5.607268e-07 2.633366e-10
1.000000e+07 1.000000e+08 1.946168e-06 4.224949e-08 1.235281e-08 9.510427e-02 5.620971e-07 2.640653e-10
1.000000e+07 1.122018e+08 1.946008e-06 4.200916e-08 1.235281e-08 9.514807e-02 5.623689e-07 2.641869e-10
1.000000e+07 1.258925e+08 1.945848e-06 4.175281e-08 1.235281e-08 9.519190e-02 5.626280e-07 2.643086e-10
1.000000e+07 1.412538e+08 1.945687e-06 4.148044e-08 1.235281e-08 9.521382e-02 5.628871e-07 2.644304e-10
1.000000e+07 1.584893e+08 1.945527e-06 4.119205e-08 1.235281e-08 9.525768e-02 5.631594e-07 2.646131e-10
1.000000e+07 1.778279e+08 1.945207e-06 4.088763e-08 1.235281e-08 9.527962e-02 5.633928e-07 2.647350e-10
1.000000e+07 1.995262e+08 1.945047e-06 4.056720e-08 1.235281e-08 9.532350e-02 5.637042e-07 2.650399e-10
1.000000e+07 2.238721e+08 1.944566e-06 4.023074e-08 1.235281e-08 9.534546e-02 5.639379e-07 2.657121e-10
1.000000e+07 2.511886e+08 1.944245e-06 3.986224e-08 1.235281e-08 9.538937e-02 5.643406e-07 2.678621e-10
1.000000e+07 2.818383e+08 1.943605e-06 3.947772e-08 1.235281e-08 9.543331e-02 5.647176e-07 2.741014e-10
1.000000e+07 3.162278e+08 1.942964e-06 3.907717e-08 1.235281e-08 9.547727e-02 5.651338e-07 2.908783e-10
1.000000e+07 3.548134e+08 1.941842e-06 3.864458e-08 1.235281e-08 9.549926e-02 5.654983e-07 3.311397e-10
1.000000e+07 3.981072e+08 1.940721e-06 3.819597e-08 1.235281e-08 9.552125e-02 5.659021e-07 4.184189e-10
1.000000e+07 4.466836e+08 1.939439e-06 3.771532e-08 1.235281e-08 9.554325e-02 5.662410e-07 5.900806e-10
1.000000e+07 5.011872e+08 1.937516e-06 3.720262e-08 1.235281e-08 9.547727e-02 5.661497e-07 8.980723e-10
1.000000e+07 5.623413e+08 1.935273e-06 3.667390e-08 1.235281e-08 9.536741e-02 5.656676e-07 1.407704e-09
1.000000e+07 6.309573e+08 1.932389e-06 3.612916e-08 1.235281e-08 9.514807e-02 5.645616e-07 2.191348e-09
1.000000e+07 7.079458e+08 1.928704e-06 3.553635e-08 1.235281e-08 9.477635e-02 5.625891e-07 3.306826e-09
1.000000e+07 7.943282e+08 1.924058e-06 3.494355e-08 1.235281e-08 9.429746e-02 5.598366e-07 4.796355e-09
1.000000e+07 8.912509e+08 1.918290e-06 3.430267e-08 1.235281e-08 9.366989e-02 5.563285e-07 6.662102e-09
1.000000e+07 1.000000e+09 1.910920e-06 3.364578e-08 1.235281e-08 9.296083e-02 5.522952e-07 8.869749e-09
1.000000e+07 1.122018e+09 1.901627e-06 3.295684e-08 1.235281e-08 9.219344e-02 5.482660e-07 1.135040e-08
1.000000e+07 1.258925e+09 1.889932e-06 3.225188e-08 1.235281e-08 9.149556e-02 5.447551e-07 1.402204e-08
