!20Mg (0+, 2+) -> 20Na,   e-capture,  with screening effects
!USDB   GT+Fermi     Q(20Mg-20Na) = 10.7085 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu     dQ       Vs        e-cap-rate    nu-energy-loss  gamma-energy
!                    (MeV)   (MeV)   (MeV)        (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.952897e-06 5.094932e-08 1.483619e-08 7.667610e-01 8.340293e-06 5.352311e-06
1.000000e+07 1.584893e+07 1.951135e-06 5.072502e-08 1.483619e-08 7.627285e-01 8.295667e-06 5.323917e-06
1.000000e+07 2.511886e+07 1.948411e-06 5.040458e-08 1.483619e-08 7.613248e-01 8.280018e-06 5.313997e-06
1.000000e+07 3.981072e+07 1.946008e-06 4.997199e-08 1.483619e-08 7.631677e-01 8.300826e-06 5.327106e-06
1.000000e+07 6.309573e+07 1.944566e-06 4.939521e-08 1.483619e-08 7.658258e-01 8.330888e-06 5.346152e-06
1.000000e+07 1.000000e+08 1.943765e-06 4.864218e-08 1.483619e-08 7.676619e-01 8.351823e-06 5.359340e-06
1.000000e+07 1.122018e+08 1.943605e-06 4.841788e-08 1.483619e-08 7.679802e-01 8.355671e-06 5.361685e-06
1.000000e+07 1.258925e+08 1.943444e-06 4.817755e-08 1.483619e-08 7.682455e-01 8.358942e-06 5.363661e-06
1.000000e+07 1.412538e+08 1.943284e-06 4.792120e-08 1.483619e-08 7.684931e-01 8.361829e-06 5.365390e-06
1.000000e+07 1.584893e+08 1.942964e-06 4.764883e-08 1.483619e-08 7.687232e-01 8.364718e-06 5.367244e-06
1.000000e+07 1.778279e+08 1.942803e-06 4.736044e-08 1.483619e-08 7.688825e-01 8.366837e-06 5.368356e-06
1.000000e+07 1.995262e+08 1.942483e-06 4.705603e-08 1.483619e-08 7.690950e-01 8.369727e-06 5.370210e-06
1.000000e+07 2.238721e+08 1.942163e-06 4.671957e-08 1.483619e-08 7.691836e-01 8.371269e-06 5.370952e-06
1.000000e+07 2.511886e+08 1.941682e-06 4.636709e-08 1.483619e-08 7.694316e-01 8.374739e-06 5.373055e-06
1.000000e+07 2.818383e+08 1.941201e-06 4.599859e-08 1.483619e-08 7.696442e-01 8.377825e-06 5.374788e-06
1.000000e+07 3.162278e+08 1.940400e-06 4.559804e-08 1.483619e-08 7.698746e-01 8.381105e-06 5.376644e-06
1.000000e+07 3.548134e+08 1.939439e-06 4.518148e-08 1.483619e-08 7.700519e-01 8.384387e-06 5.378378e-06
1.000000e+07 3.981072e+08 1.938317e-06 4.473287e-08 1.483619e-08 7.704243e-01 8.389794e-06 5.381475e-06
1.000000e+07 4.466836e+08 1.936875e-06 4.426823e-08 1.483619e-08 7.709212e-01 8.397138e-06 5.385689e-06
1.000000e+07 5.011872e+08 1.934953e-06 4.377156e-08 1.483619e-08 7.713651e-01 8.403908e-06 5.389535e-06
1.000000e+07 5.623413e+08 1.932710e-06 4.325886e-08 1.483619e-08 7.720048e-01 8.413783e-06 5.394998e-06
1.000000e+07 6.309573e+08 1.929826e-06 4.269810e-08 1.483619e-08 7.728407e-01 8.425997e-06 5.401959e-06
