!20Na (2+, 3+, 4+, 1+, 5+) -> 20Ne,  e-capture,  with screening effects
!USDB  GT+Fermi    Q(20Na-20Ne) = 13.8921 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu     dQ       Vs        e-cap-rate    nu-energy-loss  gamma-energy
!                    (MeV)   (MeV)   (MeV)        (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.954179e-06 4.788916e-08 1.360251e-08 3.734737e-01 4.961709e-06 5.579834e-06
1.000000e+07 1.584893e+07 1.952256e-06 4.764883e-08 1.360251e-08 3.685021e-01 4.894759e-06 5.504924e-06
1.000000e+07 2.511886e+07 1.949533e-06 4.731238e-08 1.360251e-08 3.664966e-01 4.867672e-06 5.474712e-06
1.000000e+07 3.981072e+07 1.947290e-06 4.686377e-08 1.360251e-08 3.669780e-01 4.874289e-06 5.482029e-06
1.000000e+07 6.309573e+07 1.945848e-06 4.627096e-08 1.360251e-08 3.681205e-01 4.889802e-06 5.499349e-06
1.000000e+07 1.000000e+08 1.944886e-06 4.550191e-08 1.360251e-08 3.689096e-01 4.900736e-06 5.511392e-06
1.000000e+07 1.122018e+08 1.944726e-06 4.526159e-08 1.360251e-08 3.690456e-01 4.902655e-06 5.513550e-06
1.000000e+07 1.258925e+08 1.944566e-06 4.502126e-08 1.360251e-08 3.691646e-01 4.904348e-06 5.515328e-06
1.000000e+07 1.412538e+08 1.944406e-06 4.476491e-08 1.360251e-08 3.692666e-01 4.905817e-06 5.516852e-06
1.000000e+07 1.584893e+08 1.944245e-06 4.447652e-08 1.360251e-08 3.693686e-01 4.907285e-06 5.518503e-06
1.000000e+07 1.778279e+08 1.944085e-06 4.418812e-08 1.360251e-08 3.694367e-01 4.908302e-06 5.519520e-06
1.000000e+07 1.995262e+08 1.943765e-06 4.386769e-08 1.360251e-08 3.695388e-01 4.909772e-06 5.521172e-06
1.000000e+07 2.238721e+08 1.943444e-06 4.353123e-08 1.360251e-08 3.695728e-01 4.910450e-06 5.521808e-06
1.000000e+07 2.511886e+08 1.942964e-06 4.317875e-08 1.360251e-08 3.696834e-01 4.912260e-06 5.523588e-06
1.000000e+07 2.818383e+08 1.942323e-06 4.279423e-08 1.360251e-08 3.697686e-01 4.913730e-06 5.525115e-06
1.000000e+07 3.162278e+08 1.941682e-06 4.239368e-08 1.360251e-08 3.698708e-01 4.915314e-06 5.526769e-06
1.000000e+07 3.548134e+08 1.940721e-06 4.197712e-08 1.360251e-08 3.699389e-01 4.916786e-06 5.528169e-06
1.000000e+07 3.981072e+08 1.939599e-06 4.152851e-08 1.360251e-08 3.700923e-01 4.919277e-06 5.530715e-06
1.000000e+07 4.466836e+08 1.938157e-06 4.104785e-08 1.360251e-08 3.703139e-01 4.922903e-06 5.534410e-06
