!20Ne (0+, 2+) -> 20F,  e-capture  with screening effects
!USDB   GT     Q(20Ne-20F) = -7.0245 MeV
!FB (0+ -> 2+) is included
!Experimental data are taken into account;  energies, GT stemgth
!
!Log(rhoY) Log(T) mu       dQ       Vs         e-cap-rate    nu-energy-loss  gamma-energy
!                      (MeV)   (MeV)   (MeV)           (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.967797e-06 4.471684e-08 1.235281e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 1.965875e-06 4.446049e-08 1.235281e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 1.963151e-06 4.412404e-08 1.235281e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 3.981072e+07 1.960908e-06 4.365941e-08 1.235281e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 6.309573e+07 1.959466e-06 4.305058e-08 1.235281e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.000000e+08 1.958505e-06 4.224949e-08 1.235281e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.122018e+08 1.958345e-06 4.200916e-08 1.235281e-08 7.691304e-293 3.174763e-300 0.000000e+00
1.000000e+07 1.258925e+08 1.958184e-06 4.175281e-08 1.235281e-08 1.066596e-261 5.089924e-269 7.222895e-294
1.000000e+07 1.412538e+08 1.958024e-06 4.148044e-08 1.235281e-08 6.324119e-234 3.481058e-241 3.204139e-263
1.000000e+07 1.584893e+08 1.957864e-06 4.119205e-08 1.235281e-08 3.801894e-209 2.397239e-216 6.977684e-236
1.000000e+07 1.778279e+08 1.957704e-06 4.088763e-08 1.235281e-08 4.742420e-187 3.409662e-194 1.647067e-211
1.000000e+07 1.995262e+08 1.957383e-06 4.056720e-08 1.235281e-08 2.437811e-167 1.989350e-174 9.009720e-190
1.000000e+07 2.238721e+08 1.957063e-06 4.023074e-08 1.235281e-08 9.204496e-150 8.505724e-157 2.176263e-170
1.000000e+07 2.511886e+08 1.956582e-06 3.986224e-08 1.235281e-08 4.508167e-134 4.685018e-141 4.312323e-153
1.000000e+07 2.818383e+08 1.955941e-06 3.947772e-08 1.235281e-08 4.466836e-120 5.244587e-127 1.158007e-137
1.000000e+07 3.162278e+08 1.955300e-06 3.907717e-08 1.235281e-08 1.383566e-107 1.822684e-114 6.771912e-124
1.000000e+07 3.548134e+08 1.954339e-06 3.864458e-08 1.235281e-08 1.931968e-96 2.864253e-103 1.296317e-111
1.000000e+07 3.981072e+08 1.953218e-06 3.819597e-08 1.235281e-08 1.731410e-86 2.884771e-93 1.198150e-100
1.000000e+07 4.466836e+08 1.951776e-06 3.771532e-08 1.235281e-08 1.323427e-77 2.478628e-84 7.325062e-91
1.000000e+07 5.011872e+08 1.949853e-06 3.720262e-08 1.235281e-08 1.136318e-69 2.391725e-76 4.013389e-82
1.000000e+07 5.623413e+08 1.947610e-06 3.667390e-08 1.235281e-08 1.382611e-62 3.271232e-69 2.546897e-74
1.000000e+07 6.309573e+08 1.944726e-06 3.612916e-08 1.235281e-08 2.960738e-56 7.876102e-63 2.377997e-67
1.000000e+07 7.079458e+08 1.941041e-06 3.553635e-08 1.235281e-08 1.342765e-50 4.016163e-57 4.008772e-61
1.000000e+07 7.943282e+08 1.936395e-06 3.494355e-08 1.235281e-08 1.528270e-45 5.141754e-52 1.472351e-55
1.000000e+07 8.912509e+08 1.930627e-06 3.430267e-08 1.235281e-08 5.072242e-41 1.919602e-47 1.390949e-50
1.000000e+07 1.000000e+09 1.923257e-06 3.364578e-08 1.235281e-08 5.610480e-37 2.389524e-43 3.922937e-46
1.000000e+07 1.122018e+09 1.913964e-06 3.295684e-08 1.235281e-08 2.328627e-33 1.116378e-39 3.763668e-42
1.000000e+07 1.258925e+09 1.902429e-06 3.225188e-08 1.235281e-08 4.042034e-30 2.182284e-36 1.385834e-38
1.000000e+07 1.412538e+09 1.887688e-06 3.151488e-08 1.235281e-08 3.221811e-27 1.959347e-33 2.171757e-35
1.000000e+07 1.584893e+09 1.869263e-06 3.076186e-08 1.235281e-08 1.286175e-24 8.814777e-31 1.592984e-32
1.000000e+07 1.778279e+09 1.845872e-06 2.997679e-08 1.235281e-08 2.765031e-22 2.136541e-28 5.919858e-30
1.000000e+07 1.995262e+09 1.816391e-06 3.127455e-08 1.235281e-08 3.403298e-20 2.965591e-26 1.191273e-27
1.000000e+07 2.238721e+09 1.779221e-06 3.069777e-08 1.235281e-08 2.581666e-18 2.538700e-24 1.403496e-25
1.000000e+07 2.511886e+09 1.732597e-06 2.747739e-08 1.235281e-08 1.276439e-16 1.417135e-22 1.028280e-23
1.000000e+07 2.818383e+09 1.674118e-06 2.658017e-08 1.235281e-08 4.241310e-15 5.319996e-21 4.842965e-22
1.000000e+07 3.162278e+09 1.601091e-06 2.568295e-08 1.235281e-08 9.949471e-14 1.410299e-19 1.546006e-20
1.000000e+07 3.548134e+09 1.510519e-06 2.475368e-08 1.235281e-08 1.707654e-12 2.737230e-18 3.477854e-19
1.000000e+07 3.981072e+09 1.399729e-06 2.382442e-08 1.235281e-08 2.219218e-11 4.024494e-17 5.729429e-18
1.000000e+07 4.466836e+09 1.267244e-06 2.289515e-08 1.235281e-08 2.248899e-10 4.616590e-16 7.146795e-17

1.000000e+08 1.000000e+07 3.918772e-06 9.696393e-08 2.555477e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.584893e+07 3.919253e-06 9.664350e-08 2.555477e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 2.511886e+07 3.919894e-06 9.617887e-08 2.555477e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 3.981072e+07 3.920534e-06 9.557004e-08 2.555477e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 6.309573e+07 3.920374e-06 9.475293e-08 2.555477e-08 0.000000e+00 0.000000e+00 0.000000e+00
