!21F (5/2+, 1/2+, 3/2+, 9/2+) -> 21Ne,   beta-decay,  with screening effects
!USDB    GT     Q(21F-21Ne) = 5.6841 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu     dQ       Vs          decay-rate    nu-energy-loss  gamma-energy
!                    (MeV)   (MeV)   (MeV)        (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.955461e-06 -4.471684e-08 1.235281e-08 1.623118e-01 6.990227e-07 1.378197e-07
1.000000e+07 1.584893e+07 1.953538e-06 -4.446049e-08 1.235281e-08 1.624688e-01 7.001503e-07 1.380102e-07
1.000000e+07 2.511886e+07 1.950814e-06 -4.412404e-08 1.235281e-08 1.625249e-01 7.005858e-07 1.380738e-07
1.000000e+07 3.981072e+07 1.948571e-06 -4.365941e-08 1.235281e-08 1.624838e-01 7.003761e-07 1.380420e-07
1.000000e+07 6.309573e+07 1.947129e-06 -4.305058e-08 1.235281e-08 1.624090e-01 6.999569e-07 1.379785e-07
1.000000e+07 1.000000e+08 1.946168e-06 -4.224949e-08 1.235281e-08 1.623192e-01 6.994736e-07 1.378832e-07
1.000000e+07 1.122018e+08 1.946008e-06 -4.200916e-08 1.235281e-08 1.622968e-01 6.993447e-07 1.378514e-07
1.000000e+07 1.258925e+08 1.945848e-06 -4.175281e-08 1.235281e-08 1.622707e-01 6.992159e-07 1.378197e-07
1.000000e+07 1.412538e+08 1.945687e-06 -4.148044e-08 1.235281e-08 1.622445e-01 6.990871e-07 1.378197e-07
1.000000e+07 1.584893e+08 1.945527e-06 -4.119205e-08 1.235281e-08 1.622184e-01 6.989423e-07 1.377880e-07
1.000000e+07 1.778279e+08 1.945207e-06 -4.088763e-08 1.235281e-08 1.621885e-01 6.987974e-07 1.377562e-07
1.000000e+07 1.995262e+08 1.945047e-06 -4.056720e-08 1.235281e-08 1.621586e-01 6.986526e-07 1.377245e-07
1.000000e+07 2.238721e+08 1.944566e-06 -4.023074e-08 1.235281e-08 1.621287e-01 6.985079e-07 1.376928e-07
1.000000e+07 2.511886e+08 1.944245e-06 -3.986224e-08 1.235281e-08 1.620951e-01 6.983471e-07 1.376611e-07
1.000000e+07 2.818383e+08 1.943605e-06 -3.947772e-08 1.235281e-08 1.620616e-01 6.981863e-07 1.376294e-07
1.000000e+07 3.162278e+08 1.942964e-06 -3.907717e-08 1.235281e-08 1.620280e-01 6.980255e-07 1.375977e-07
1.000000e+07 3.548134e+08 1.941842e-06 -3.864458e-08 1.235281e-08 1.619944e-01 6.978648e-07 1.375661e-07
1.000000e+07 3.981072e+08 1.940721e-06 -3.819597e-08 1.235281e-08 1.619646e-01 6.977202e-07 1.375344e-07
1.000000e+07 4.466836e+08 1.939439e-06 -3.771532e-08 1.235281e-08 1.619347e-01 6.976238e-07 1.374711e-07
1.000000e+07 5.011872e+08 1.937516e-06 -3.720262e-08 1.235281e-08 1.619161e-01 6.975917e-07 1.374394e-07
1.000000e+07 5.623413e+08 1.935273e-06 -3.667390e-08 1.235281e-08 1.619198e-01 6.976881e-07 1.373445e-07
1.000000e+07 6.309573e+08 1.932389e-06 -3.612916e-08 1.235281e-08 1.619496e-01 6.979773e-07 1.372181e-07
1.000000e+07 7.079458e+08 1.928704e-06 -3.553635e-08 1.235281e-08 1.620205e-01 6.985400e-07 1.370286e-07
1.000000e+07 7.943282e+08 1.924058e-06 -3.494355e-08 1.235281e-08 1.621511e-01 6.994897e-07 1.367450e-07
1.000000e+07 8.912509e+08 1.918290e-06 -3.430267e-08 1.235281e-08 1.623529e-01 7.009085e-07 1.363990e-07
1.000000e+07 1.000000e+09 1.910920e-06 -3.364578e-08 1.235281e-08 1.626372e-01 7.028802e-07 1.359287e-07
1.000000e+07 1.122018e+09 1.901627e-06 -3.295684e-08 1.235281e-08 1.630197e-01 7.054745e-07 1.353354e-07
1.000000e+07 1.258925e+09 1.889932e-06 -3.225188e-08 1.235281e-08 1.634971e-01 7.087145e-07 1.346205e-07
1.000000e+07 1.412538e+09 1.875352e-06 -3.151488e-08 1.235281e-08 1.640779e-01 7.126090e-07 1.337862e-07
1.000000e+07 1.584893e+09 1.856766e-06 -3.076186e-08 1.235281e-08 1.647517e-01 7.171687e-07 1.328652e-07
1.000000e+07 1.778279e+09 1.833535e-06 -2.997679e-08 1.235281e-08 1.655084e-01 7.222895e-07 1.318291e-07
1.000000e+07 1.995262e+09 1.804055e-06 -3.127455e-08 1.235281e-08 1.665406e-01 7.290063e-07 1.309517e-07
1.000000e+07 2.238721e+09 1.766884e-06 -3.069777e-08 1.235281e-08 1.674519e-01 7.352268e-07 1.299006e-07
1.000000e+07 2.511886e+09 1.720261e-06 -2.747739e-08 1.235281e-08 1.681473e-01 7.404765e-07 1.286208e-07
1.000000e+07 2.818383e+09 1.661781e-06 -2.658017e-08 1.235281e-08 1.690791e-01 7.471216e-07 1.276472e-07
1.000000e+07 3.162278e+09 1.588722e-06 -2.568295e-08 1.235281e-08 1.699887e-01 7.538784e-07 1.268561e-07
1.000000e+07 3.548134e+09 1.498199e-06 -2.475368e-08 1.235281e-08 1.708323e-01 7.605562e-07 1.262732e-07
1.000000e+07 3.981072e+09 1.387328e-06 -2.382442e-08 1.235281e-08 1.715458e-01 7.668692e-07 1.260989e-07
1.000000e+07 4.466836e+09 1.254827e-06 -2.289515e-08 1.235281e-08 1.720561e-01 7.724694e-07 1.263605e-07

1.000000e+08 1.000000e+07 3.893297e-06 -9.696393e-08 2.555477e-08 1.138335e-01 4.087251e-07 8.552859e-08
1.000000e+08 1.584893e+07 3.893778e-06 -9.664350e-08 2.555477e-08 1.138099e-01 4.086122e-07 8.550890e-08
1.000000e+08 2.511886e+07 3.894419e-06 -9.617887e-08 2.555477e-08 1.137758e-01 4.084617e-07 8.546953e-08
1.000000e+08 3.981072e+07 3.894900e-06 -9.557004e-08 2.555477e-08 1.137313e-01 4.082830e-07 8.543018e-08
1.000000e+08 6.309573e+07 3.894900e-06 -9.475293e-08 2.555477e-08 1.137156e-01 4.082360e-07 8.543018e-08
1.000000e+08 1.000000e+08 3.894579e-06 -9.366344e-08 2.555477e-08 1.136946e-01 4.081984e-07 8.541051e-08
1.000000e+08 1.122018e+08 3.894419e-06 -9.332698e-08 2.555477e-08 1.136789e-01 4.081514e-07 8.541051e-08
1.000000e+08 1.258925e+08 3.894419e-06 -9.299053e-08 2.555477e-08 1.136632e-01 4.080856e-07 8.539084e-08
1.000000e+08 1.412538e+08 3.894259e-06 -9.260600e-08 2.555477e-08 1.136397e-01 4.080011e-07 8.537118e-08
1.000000e+08 1.584893e+08 3.894259e-06 -9.222148e-08 2.555477e-08 1.136161e-01 4.078977e-07 8.535153e-08
1.000000e+08 1.778279e+08 3.894098e-06 -9.178889e-08 2.555477e-08 1.135874e-01 4.077757e-07 8.533188e-08
