!21F (5/2+, 1/2+, 3/2+, 9/2+) -> 21O,  e-capture,  with screening effects
!USDB   GT    Q(21F-21O) = -8.1095 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu     dQ       Vs        e-cap-rate    nu-energy-loss  gamma-energy
!                    (MeV)   (MeV)   (MeV)        (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.956582e-06 4.143237e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 1.954820e-06 4.116000e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 1.952096e-06 4.080752e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 3.981072e+07 1.949853e-06 4.032687e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 6.309573e+07 1.948251e-06 3.968600e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.000000e+08 1.947450e-06 3.886889e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.122018e+08 1.947290e-06 3.861254e-08 1.111913e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.258925e+08 1.947129e-06 3.835619e-08 1.111913e-08 7.943282e-306 4.118237e-313 0.000000e+00
1.000000e+07 1.412538e+08 1.946969e-06 3.808382e-08 1.111913e-08 2.344229e-273 1.363676e-280 9.881313e-323
1.000000e+07 1.584893e+08 1.946809e-06 3.779543e-08 1.111913e-08 2.398833e-244 1.530070e-251 5.305317e-289
1.000000e+07 1.778279e+08 1.946488e-06 3.747499e-08 1.111913e-08 1.621810e-218 1.160677e-225 6.091318e-259
1.000000e+07 1.995262e+08 1.946328e-06 3.715455e-08 1.111913e-08 1.778279e-195 1.461206e-202 4.024494e-232
1.000000e+07 2.238721e+08 1.945848e-06 3.680207e-08 1.111913e-08 6.456542e-175 5.952663e-182 3.196769e-208
1.000000e+07 2.511886e+08 1.945367e-06 3.643357e-08 1.111913e-08 1.412538e-156 1.461206e-163 6.834572e-187
1.000000e+07 2.818383e+08 1.944886e-06 3.603303e-08 1.111913e-08 3.162278e-140 3.670382e-147 7.156675e-168
1.000000e+07 3.162278e+08 1.944085e-06 3.563248e-08 1.111913e-08 1.258925e-125 1.639500e-132 6.678998e-151
1.000000e+07 3.548134e+08 1.943124e-06 3.518387e-08 1.111913e-08 1.318257e-112 1.926244e-119 9.009720e-136
1.000000e+07 3.981072e+08 1.942002e-06 3.473526e-08 1.111913e-08 5.495409e-101 9.219584e-108 2.915488e-122
1.000000e+07 4.466836e+08 1.940560e-06 3.425461e-08 1.111913e-08 1.303167e-90 2.430588e-97 3.347428e-110
1.000000e+07 5.011872e+08 1.938798e-06 3.374191e-08 1.111913e-08 2.371374e-81 4.974063e-88 1.899815e-99
1.000000e+07 5.623413e+08 1.936395e-06 3.321319e-08 1.111913e-08 4.375221e-73 1.032075e-79 7.580735e-90
1.000000e+07 6.309573e+08 1.933511e-06 3.266845e-08 1.111913e-08 1.064143e-65 2.823003e-72 2.849124e-81
1.000000e+07 7.079458e+08 1.929826e-06 3.209167e-08 1.111913e-08 4.178304e-59 1.246555e-65 1.284433e-73
1.000000e+07 7.943282e+08 1.925340e-06 3.148284e-08 1.111913e-08 3.265878e-53 1.093229e-59 8.804634e-67
1.000000e+07 8.912509e+08 1.919412e-06 3.085799e-08 1.111913e-08 6.011737e-48 2.268356e-54 1.126448e-60
1.000000e+07 1.000000e+09 1.912042e-06 3.020109e-08 1.111913e-08 3.061963e-43 1.299306e-49 3.226349e-55
1.000000e+07 1.122018e+09 1.902909e-06 2.952818e-08 1.111913e-08 4.943107e-39 2.358910e-45 2.424998e-50
1.000000e+07 1.258925e+09 1.891213e-06 2.883924e-08 1.111913e-08 2.864178e-35 1.540676e-41 5.542572e-46
1.000000e+07 1.412538e+09 1.876633e-06 2.811826e-08 1.111913e-08 6.668068e-32 4.033772e-38 4.382393e-42
1.000000e+07 1.584893e+09 1.858048e-06 2.904752e-08 1.111913e-08 6.839116e-29 4.663493e-35 1.338786e-38
1.000000e+07 1.778279e+09 1.834817e-06 2.848676e-08 1.111913e-08 3.411929e-26 2.616443e-32 1.773010e-35
1.000000e+07 1.995262e+09 1.805336e-06 2.582714e-08 1.111913e-08 8.953648e-24 7.739472e-30 1.116121e-32
1.000000e+07 2.238721e+09 1.768166e-06 2.501003e-08 1.111913e-08 1.303167e-21 1.272657e-27 3.570354e-30
1.000000e+07 2.511886e+09 1.721542e-06 2.417690e-08 1.111913e-08 1.137627e-19 1.252308e-25 6.319916e-28
1.000000e+07 2.818383e+09 1.663063e-06 2.331172e-08 1.111913e-08 6.237348e-18 7.757313e-24 6.572208e-26
1.000000e+07 3.162278e+09 1.590003e-06 2.246256e-08 1.111913e-08 2.275097e-16 3.189417e-22 4.272788e-24
1.000000e+07 3.548134e+09 1.499480e-06 2.159739e-08 1.111913e-08 5.727960e-15 9.093086e-21 1.826885e-22
1.000000e+07 3.981072e+09 1.388609e-06 2.074823e-08 1.111913e-08 1.044720e-13 1.878068e-19 5.379121e-21
