!24Na (4+, 1+, 2+, 2+, 1+, 3+, 5+, 3+, 2+) -> 24Mg,   beta-decay,  with screening effects
!USDB                Q=5.5156 MeV
!Experimental energies, exp. B(GT) for 4+(g.s.) -> 4+(4.12MeV), 3+(5.235MeV), FF 4+(g.s.)->2+(1.369MeV) included
!Log(rhoY) Log(T) mu     dQ       Vs         decay-rate    nu-energy-loss  gamma-energy
!                    (MeV)   (MeV)   (MeV)        (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.952897e-06 -5.094932e-08 1.483619e-08 4.903430e-06 4.041209e-12 3.235276e-11
1.000000e+07 1.584893e+07 1.951135e-06 -5.072502e-08 1.483619e-08 4.924929e-06 4.066411e-12 3.249461e-11
1.000000e+07 2.511886e+07 1.948411e-06 -5.040458e-08 1.483619e-08 4.929467e-06 4.072033e-12 3.252455e-11
1.000000e+07 3.981072e+07 1.946008e-06 -4.997199e-08 1.483619e-08 4.912471e-06 4.053324e-12 3.241987e-11
1.000000e+07 6.309573e+07 1.944566e-06 -4.939521e-08 1.483619e-08 4.889900e-06 4.029130e-12 3.226349e-11
1.000000e+07 1.000000e+08 1.943765e-06 -4.864218e-08 1.483619e-08 4.871918e-06 4.010618e-12 3.214484e-11
1.000000e+07 1.122018e+08 1.943605e-06 -4.841788e-08 1.483619e-08 4.868554e-06 4.007849e-12 3.212265e-11
1.000000e+07 1.258925e+08 1.943444e-06 -4.817755e-08 1.483619e-08 4.865192e-06 4.005081e-12 3.210786e-11
1.000000e+07 1.412538e+08 1.943284e-06 -4.792120e-08 1.483619e-08 4.862952e-06 4.004159e-12 3.209307e-11
1.000000e+07 1.584893e+08 1.942964e-06 -4.764883e-08 1.483619e-08 4.860713e-06 4.003237e-12 3.207830e-11
1.000000e+07 1.778279e+08 1.942803e-06 -4.736044e-08 1.483619e-08 4.859594e-06 4.004159e-12 3.207091e-11
1.000000e+07 1.995262e+08 1.942483e-06 -4.705603e-08 1.483619e-08 4.859594e-06 4.006926e-12 3.206353e-11
1.000000e+07 2.238721e+08 1.942163e-06 -4.671957e-08 1.483619e-08 4.860713e-06 4.011542e-12 3.207091e-11
1.000000e+07 2.511886e+08 1.941682e-06 -4.636709e-08 1.483619e-08 4.861833e-06 4.017088e-12 3.207830e-11
1.000000e+07 2.818383e+08 1.941201e-06 -4.599859e-08 1.483619e-08 4.865192e-06 4.025421e-12 3.210046e-11
1.000000e+07 3.162278e+08 1.940400e-06 -4.559804e-08 1.483619e-08 4.870797e-06 4.041209e-12 3.213004e-11
1.000000e+07 3.548134e+08 1.939439e-06 -4.518148e-08 1.483619e-08 4.882025e-06 4.076724e-12 3.218928e-11
1.000000e+07 3.981072e+08 1.938317e-06 -4.473287e-08 1.483619e-08 4.911340e-06 4.192869e-12 3.225606e-11
1.000000e+07 4.466836e+08 1.936875e-06 -4.426823e-08 1.483619e-08 5.009565e-06 4.629257e-12 3.237511e-11
1.000000e+07 5.011872e+08 1.934953e-06 -4.377156e-08 1.483619e-08 5.334577e-06 6.154763e-12 3.259953e-11
1.000000e+07 5.623413e+08 1.932710e-06 -4.325886e-08 1.483619e-08 6.322662e-06 1.086454e-11 3.309873e-11
1.000000e+07 6.309573e+08 1.929826e-06 -4.269810e-08 1.483619e-08 9.011560e-06 2.375808e-11 3.433296e-11
1.000000e+07 7.079458e+08 1.926141e-06 -4.212131e-08 1.483619e-08 1.554175e-05 5.505684e-11 3.730021e-11
1.000000e+07 7.943282e+08 1.921655e-06 -4.151248e-08 1.483619e-08 2.988134e-05 1.236834e-10 4.404649e-11
1.000000e+07 8.912509e+08 1.915727e-06 -4.088763e-08 1.483619e-08 5.850595e-05 2.603223e-10 5.822524e-11
1.000000e+07 1.000000e+09 1.908357e-06 -4.021472e-08 1.483619e-08 1.110453e-04 5.105183e-10 8.572575e-11
1.000000e+07 1.122018e+09 1.899224e-06 -3.952578e-08 1.483619e-08 2.003088e-04 9.343537e-10 1.350863e-10
1.000000e+07 1.258925e+09 1.887528e-06 -3.878878e-08 1.483619e-08 3.421370e-04 1.606983e-09 2.175261e-10
1.000000e+07 1.412538e+09 1.872948e-06 -3.803575e-08 1.483619e-08 5.548812e-04 2.614636e-09 3.466660e-10
1.000000e+07 1.584893e+09 1.854363e-06 -3.725068e-08 1.483619e-08 8.594092e-04 4.059862e-09 5.379121e-10
1.000000e+07 1.778279e+09 1.830971e-06 -3.643357e-08 1.483619e-08 1.280560e-03 6.070316e-09 8.085582e-10
1.000000e+07 1.995262e+09 1.801491e-06 -3.560044e-08 1.483619e-08 1.850973e-03 8.820868e-09 1.179265e-09
1.000000e+07 2.238721e+09 1.764481e-06 -3.473526e-08 1.483619e-08 2.617580e-03 1.257220e-08 1.678461e-09
1.000000e+07 2.511886e+09 1.717857e-06 -3.383804e-08 1.483619e-08 3.648379e-03 1.771378e-08 2.350235e-09
1.000000e+07 2.818383e+09 1.659218e-06 -3.588883e-08 1.483619e-08 5.044289e-03 2.481483e-08 3.268220e-09
1.000000e+07 3.162278e+09 1.586318e-06 -3.196349e-08 1.483619e-08 6.892869e-03 3.438835e-08 4.511400e-09
1.000000e+07 3.548134e+09 1.495635e-06 -3.098616e-08 1.483619e-08 9.341143e-03 4.726191e-08 6.228899e-09
1.000000e+07 3.981072e+09 1.384924e-06 -2.996077e-08 1.483619e-08 1.248820e-02 6.398988e-08 8.556799e-09
1.000000e+07 4.466836e+09 1.252424e-06 -2.891935e-08 1.483619e-08 1.639079e-02 8.490071e-08 1.163085e-08

