!24Na (4+, 1+, 2+, 2+, 1+, 3+, 5+, 3+, 2+) -> 24Ne,  e-capture,  with screening effects
!USDB                        Q=-2.4663 MeV
!Experimental energies, exp. B(GT) for 1+(0.472, 1.3467MeV) -> 0+(g.s.)
!
!Log(rhoY) Log(T) mu       dQ       Vs         e-cap-rate    nu-energy-loss  gamma-energy
!                       (MeV)   (MeV)   (MeV)         (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.954179e-06 4.788916e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 1.952256e-06 4.764883e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 1.949533e-06 4.731238e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 3.981072e+07 1.947290e-06 4.686377e-08 1.360251e-08 2.511886e-237 2.720892e-245 6.526965e-259
1.000000e+07 6.309573e+07 1.945848e-06 4.627096e-08 1.360251e-08 3.019952e-153 6.233204e-161 6.993769e-175
1.000000e+07 1.000000e+08 1.944886e-06 4.550191e-08 1.360251e-08 6.886523e-100 2.849124e-107 1.395440e-121
1.000000e+07 1.122018e+08 1.944726e-06 4.526159e-08 1.360251e-08 6.456542e-90 3.052891e-97 1.302301e-111
1.000000e+07 1.258925e+08 1.944566e-06 4.502126e-08 1.360251e-08 5.260173e-81 2.829510e-88 1.039229e-102
1.000000e+07 1.412538e+08 1.944406e-06 4.476491e-08 1.360251e-08 4.655861e-73 2.829510e-80 9.177223e-95
1.000000e+07 1.584893e+08 1.944245e-06 4.447652e-08 1.360251e-08 6.180164e-66 4.214163e-73 1.198702e-87
1.000000e+07 1.778279e+08 1.944085e-06 4.418812e-08 1.360251e-08 1.377209e-59 1.053686e-66 2.665086e-81
1.000000e+07 1.995262e+08 1.943765e-06 4.386769e-08 1.360251e-08 6.576578e-54 5.632631e-61 1.269730e-75
1.000000e+07 2.238721e+08 1.943444e-06 4.353123e-08 1.360251e-08 7.888601e-49 7.563300e-56 1.512555e-70
1.000000e+07 2.511886e+08 1.942964e-06 4.317875e-08 1.360251e-08 2.728978e-44 2.935698e-51 5.232525e-66
1.000000e+07 2.818383e+08 1.942323e-06 4.279423e-08 1.360251e-08 3.133286e-40 3.764535e-47 5.993925e-62
1.000000e+07 3.162278e+08 1.941682e-06 4.239368e-08 1.360251e-08 1.355189e-36 1.831097e-43 2.592455e-58
1.000000e+07 3.548134e+08 1.940721e-06 4.197712e-08 1.360251e-08 2.437811e-33 3.704344e-40 4.652767e-55
1.000000e+07 3.981072e+08 1.939599e-06 4.152851e-08 1.360251e-08 2.023019e-30 3.449144e-37 3.852222e-52
1.000000e+07 4.466836e+08 1.938157e-06 4.104785e-08 1.360251e-08 8.375293e-28 1.605873e-34 1.591151e-49
1.000000e+07 5.011872e+08 1.936235e-06 4.055118e-08 1.360251e-08 1.862087e-25 4.024494e-32 3.537621e-47
1.000000e+07 5.623413e+08 1.933991e-06 4.002246e-08 1.360251e-08 2.382319e-23 5.803785e-30 5.125206e-45
1.000000e+07 6.309573e+08 1.931108e-06 3.946169e-08 1.360251e-08 1.874995e-21 5.137021e-28 4.412770e-42
1.000000e+07 7.079458e+08 1.927423e-06 3.888491e-08 1.360251e-08 9.484185e-20 2.928946e-26 1.070807e-38
1.000000e+07 7.943282e+08 1.922776e-06 3.827608e-08 1.360251e-08 3.250873e-18 1.134257e-24 1.243688e-35
1.000000e+07 8.912509e+08 1.917008e-06 3.763521e-08 1.360251e-08 7.852356e-17 3.095361e-23 6.945625e-33
1.000000e+07 1.000000e+09 1.909638e-06 3.697831e-08 1.360251e-08 1.393157e-15 6.190294e-22 2.017025e-30
1.000000e+07 1.122018e+09 1.900346e-06 3.628938e-08 1.360251e-08 1.866380e-14 9.390988e-21 3.263708e-28
1.000000e+07 1.258925e+09 1.888810e-06 3.556840e-08 1.360251e-08 1.954339e-13 1.113554e-19 3.138422e-26
