!25Na (5/2+, 3/2+, 1/2+)  -> 25Ne      e-capture    with screening effects
!USDB      Q=-7.2981 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu     dQ       Vs        e-cap-rate    nu-energy-loss  gamma-energy
!                  (MeV)     (MeV)     (MeV)        (1/s)           (MeV/s)          (MeV/s) 
1.000000e+07 1.000000e+07 1.954179e-06 4.788916e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.584893e+07 1.952304e-06 4.764883e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 2.511886e+07 1.949597e-06 4.731238e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 3.981072e+07 1.947306e-06 4.686377e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 6.309573e+07 1.945832e-06 4.627096e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.000000e+08 1.944934e-06 4.550191e-08 1.360251e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+07 1.122018e+08 1.944774e-06 4.526159e-08 1.360251e-08 1.621810e-305 7.493959e-313 0.000000e+00
1.000000e+07 1.258925e+08 1.944598e-06 4.502126e-08 1.360251e-08 5.128614e-273 2.658957e-280 1.302301e-294
1.000000e+07 1.412538e+08 1.944438e-06 4.476491e-08 1.360251e-08 4.897788e-244 2.849124e-251 1.243688e-265
1.000000e+07 1.584893e+08 1.944277e-06 4.447652e-08 1.360251e-08 3.548134e-218 2.369798e-225 9.219584e-240
1.000000e+07 1.778279e+08 1.944037e-06 4.418812e-08 1.360251e-08 4.073803e-195 2.983399e-202 1.034454e-216
1.000000e+07 1.995262e+08 1.943781e-06 4.386769e-08 1.360251e-08 1.479108e-174 1.215378e-181 3.843362e-196
1.000000e+07 2.238721e+08 1.943380e-06 4.353123e-08 1.360251e-08 3.235937e-156 2.983399e-163 8.216963e-178
1.000000e+07 2.511886e+08 1.942964e-06 4.317875e-08 1.360251e-08 7.413102e-140 7.847138e-147 1.926244e-161
1.000000e+07 2.818383e+08 1.942387e-06 4.279423e-08 1.360251e-08 2.951209e-125 3.425400e-132 7.493959e-147
1.000000e+07 3.162278e+08 1.941650e-06 4.239368e-08 1.360251e-08 3.090295e-112 4.118237e-119 8.029922e-134
1.000000e+07 3.548134e+08 1.940673e-06 4.197712e-08 1.360251e-08 1.297179e-100 1.926244e-107 3.347428e-122
1.000000e+07 3.981072e+08 1.939535e-06 4.152851e-08 1.360251e-08 3.061963e-90 5.089924e-97 7.847138e-112
1.000000e+07 4.466836e+08 1.938141e-06 4.104785e-08 1.360251e-08 5.533501e-81 1.032075e-87 1.414853e-102
1.000000e+07 5.011872e+08 1.936251e-06 4.055118e-08 1.360251e-08 1.018591e-72 2.136541e-79 2.836033e-94
1.000000e+07 5.623413e+08 1.933959e-06 4.002246e-08 1.360251e-08 2.432204e-65 5.737349e-72 4.728368e-86
1.000000e+07 6.309573e+08 1.931092e-06 3.946169e-08 1.360251e-08 9.484185e-59 2.510217e-65 7.340258e-78
1.000000e+07 7.079458e+08 1.927407e-06 3.888491e-08 1.360251e-08 7.294575e-53 2.171257e-59 1.704949e-70
1.000000e+07 7.943282e+08 1.922824e-06 3.827608e-08 1.360251e-08 1.327394e-47 4.443358e-54 6.482034e-64
1.000000e+07 8.912509e+08 1.917008e-06 3.763521e-08 1.360251e-08 6.652732e-43 2.510217e-49 4.928461e-58
1.000000e+07 1.000000e+09 1.909638e-06 3.697831e-08 1.360251e-08 1.061696e-38 4.505171e-45 8.927119e-53
1.000000e+07 1.122018e+09 1.900394e-06 3.628938e-08 1.360251e-08 6.095369e-35 2.902093e-41 4.505171e-48
1.000000e+07 1.258925e+09 1.888762e-06 3.556840e-08 1.360251e-08 1.406048e-31 7.545905e-38 7.340258e-44
1.000000e+07 1.412538e+09 1.874118e-06 3.481537e-08 1.360251e-08 1.442115e-28 8.703848e-35 4.342215e-40
1.000000e+07 1.584893e+09 1.855613e-06 3.404633e-08 1.360251e-08 7.161434e-26 4.872045e-32 1.048845e-36
1.000000e+07 1.778279e+09 1.832285e-06 3.324524e-08 1.360251e-08 1.862087e-23 1.424660e-29 1.134257e-33
1.000000e+07 1.995262e+09 1.802805e-06 3.242812e-08 1.360251e-08 2.716439e-21 2.342671e-27 5.980139e-31
1.000000e+07 2.238721e+09 1.765715e-06 3.157897e-08 1.360251e-08 2.365920e-19 2.299912e-25 1.654670e-28
1.000000e+07 2.511886e+09 1.719043e-06 3.334137e-08 1.360251e-08 1.291219e-17 1.418115e-23 2.568688e-26
1.000000e+07 2.818383e+09 1.660515e-06 2.980055e-08 1.360251e-08 4.753352e-16 5.884524e-22 2.419420e-24
1.000000e+07 3.162278e+09 1.587488e-06 2.885526e-08 1.360251e-08 1.202264e-14 1.681556e-20 1.427944e-22
1.000000e+07 3.548134e+09 1.496933e-06 2.789395e-08 1.360251e-08 2.197860e-13 3.473052e-19 5.593856e-21
1.000000e+07 3.981072e+09 1.386158e-06 2.690060e-08 1.360251e-08 3.013006e-12 5.379121e-18 1.523040e-19
1.000000e+07 4.466836e+09 1.253610e-06 2.590725e-08 1.360251e-08 3.221069e-11 6.511954e-17 3.004079e-18

1.000000e+08 1.000000e+07 3.890750e-06 1.037732e-07 2.811826e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.584893e+07 3.891150e-06 1.034528e-07 2.811826e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 2.511886e+07 3.891807e-06 1.030202e-07 2.811826e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 3.981072e+07 3.892384e-06 1.024274e-07 2.811826e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 6.309573e+07 3.892304e-06 1.016423e-07 2.811826e-08 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+08 1.000000e+08 3.891968e-06 1.005849e-07 2.811826e-08 1.698244e-282 7.668516e-290 4.024494e-304
1.000000e+08 1.122018e+08 3.891887e-06 1.002804e-07 2.811826e-08 1.659587e-252 8.216963e-260 4.024494e-274
