!25Si (5/2+, 3/2+, 1/2+, 3/2+)  -> 25Al       e-capture,  with screening effects
!GT+F   USDB     Q=12.7427 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu    dQ        Vs          capture-rate    nu-energy-loss  gamma-energy
!                   (MeV)    (MeV)   (MeV)       (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.950494e-06 5.682932e-08 1.730354e-08 3.487225e-01 3.726759e-06 3.632213e-06
1.000000e+07 1.584893e+07 1.948571e-06 5.660502e-08 1.730354e-08 3.491162e-01 3.731138e-06 3.636397e-06
1.000000e+07 2.511886e+07 1.945848e-06 5.630061e-08 1.730354e-08 3.495667e-01 3.736210e-06 3.641173e-06
1.000000e+07 3.981072e+07 1.943605e-06 5.590006e-08 1.730354e-08 3.506227e-01 3.747929e-06 3.652257e-06
1.000000e+07 6.309573e+07 1.942163e-06 5.535532e-08 1.730354e-08 3.518196e-01 3.761242e-06 3.664809e-06
1.000000e+07 1.000000e+08 1.941201e-06 5.465036e-08 1.730354e-08 3.527605e-01 3.771823e-06 3.674949e-06
1.000000e+07 1.122018e+08 1.941041e-06 5.442605e-08 1.730354e-08 3.529637e-01 3.774169e-06 3.677234e-06
1.000000e+07 1.258925e+08 1.940881e-06 5.420175e-08 1.730354e-08 3.531669e-01 3.776429e-06 3.679521e-06
1.000000e+07 1.412538e+08 1.940721e-06 5.396142e-08 1.730354e-08 3.533703e-01 3.778690e-06 3.681894e-06
1.000000e+07 1.584893e+08 1.940560e-06 5.370507e-08 1.730354e-08 3.535982e-01 3.781301e-06 3.684608e-06
1.000000e+07 1.778279e+08 1.940400e-06 5.341668e-08 1.730354e-08 3.538018e-01 3.783653e-06 3.687239e-06
1.000000e+07 1.995262e+08 1.940080e-06 5.312829e-08 1.730354e-08 3.540707e-01 3.786616e-06 3.690467e-06
1.000000e+07 2.238721e+08 1.939599e-06 5.280785e-08 1.730354e-08 3.542991e-01 3.789233e-06 3.693357e-06
1.000000e+07 2.511886e+08 1.939279e-06 5.247140e-08 1.730354e-08 3.546092e-01 3.792812e-06 3.697271e-06
1.000000e+07 2.818383e+08 1.938638e-06 5.211892e-08 1.730354e-08 3.549114e-01 3.796307e-06 3.701104e-06
1.000000e+07 3.162278e+08 1.937997e-06 5.173439e-08 1.730354e-08 3.552385e-01 3.800155e-06 3.705197e-06
1.000000e+07 3.548134e+08 1.937036e-06 5.131783e-08 1.730354e-08 3.555413e-01 3.803832e-06 3.709038e-06
1.000000e+07 3.981072e+08 1.935754e-06 5.090126e-08 1.730354e-08 3.559180e-01 3.808564e-06 3.713824e-06
1.000000e+07 4.466836e+08 1.934472e-06 5.043663e-08 1.730354e-08 3.563609e-01 3.814093e-06 3.719215e-06
1.000000e+07 5.011872e+08 1.932550e-06 4.995597e-08 1.730354e-08 3.567632e-01 3.819278e-06 3.724100e-06
1.000000e+07 5.623413e+08 1.930306e-06 4.944327e-08 1.730354e-08 3.572399e-01 3.825703e-06 3.729935e-06
1.000000e+07 6.309573e+08 1.927423e-06 4.889853e-08 1.730354e-08 3.577915e-01 3.833198e-06 3.736554e-06
1.000000e+07 7.079458e+08 1.923738e-06 4.832175e-08 1.730354e-08 3.583604e-01 3.841327e-06 3.743358e-06
1.000000e+07 7.943282e+08 1.919091e-06 4.772894e-08 1.730354e-08 3.590459e-01 3.851246e-06 3.751469e-06
1.000000e+07 8.912509e+08 1.913323e-06 4.708807e-08 1.730354e-08 3.598156e-01 3.862703e-06 3.760549e-06
1.000000e+07 1.000000e+09 1.905953e-06 4.643118e-08 1.730354e-08 3.606866e-01 3.876067e-06 3.770868e-06
1.000000e+07 1.122018e+09 1.896661e-06 4.572622e-08 1.730354e-08 3.617429e-01 3.892434e-06 3.783217e-06
1.000000e+07 1.258925e+09 1.885125e-06 4.498921e-08 1.730354e-08 3.630363e-01 3.912653e-06 3.798318e-06
1.000000e+07 1.412538e+09 1.870385e-06 4.423619e-08 1.730354e-08 3.645944e-01 3.937235e-06 3.816465e-06
1.000000e+07 1.584893e+09 1.851960e-06 4.343510e-08 1.730354e-08 3.664713e-01 3.967266e-06 3.838410e-06
1.000000e+07 1.778279e+09 1.828568e-06 4.260197e-08 1.730354e-08 3.687483e-01 4.003975e-06 3.865016e-06
1.000000e+07 1.995262e+09 1.799088e-06 4.173679e-08 1.730354e-08 3.714753e-01 4.048567e-06 3.897098e-06
1.000000e+07 2.238721e+09 1.762078e-06 4.083957e-08 1.730354e-08 3.748090e-01 4.103565e-06 3.936419e-06
1.000000e+07 2.511886e+09 1.715294e-06 3.991030e-08 1.730354e-08 3.788873e-01 4.171299e-06 3.984477e-06
1.000000e+07 2.818383e+09 1.656814e-06 3.896502e-08 1.730354e-08 3.839282e-01 4.255311e-06 4.043908e-06
1.000000e+07 3.162278e+09 1.583755e-06 3.797167e-08 1.730354e-08 3.903103e-01 4.361655e-06 4.118711e-06
1.000000e+07 3.548134e+09 1.493232e-06 4.069537e-08 1.730354e-08 3.982905e-01 4.494085e-06 4.211641e-06
1.000000e+07 3.981072e+09 1.382521e-06 4.010257e-08 1.730354e-08 4.096378e-01 4.677689e-06 4.341615e-06
1.000000e+07 4.466836e+09 1.249861e-06 3.483139e-08 1.730354e-08 4.267072e-01 4.944829e-06 4.533789e-06

1.000000e+08 1.000000e+07 3.883043e-06 1.229513e-07 3.577668e-08 4.385206e+00 5.219289e-05 4.660272e-05
1.000000e+08 1.584893e+07 3.883524e-06 1.226629e-07 3.577668e-08 4.378547e+00 5.210883e-05 4.653838e-05
1.000000e+08 2.511886e+07 3.884165e-06 1.222784e-07 3.577668e-08 4.367571e+00 5.197701e-05 4.642066e-05
1.000000e+08 3.981072e+07 3.884646e-06 1.217497e-07 3.577668e-08 4.354417e+00 5.180973e-05 4.627126e-05
1.000000e+08 6.309573e+07 3.884646e-06 1.210447e-07 3.577668e-08 4.342002e+00 5.165487e-05 4.614358e-05
1.000000e+08 1.000000e+08 3.884325e-06 1.200834e-07 3.577668e-08 4.336207e+00 5.158356e-05 4.607988e-05
1.000000e+08 1.122018e+08 3.884165e-06 1.197950e-07 3.577668e-08 4.336107e+00 5.158356e-05 4.607988e-05
1.000000e+08 1.258925e+08 3.884165e-06 1.194906e-07 3.577668e-08 4.336506e+00 5.159544e-05 4.609049e-05
