!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.000000e+07 1.000000e+07 -5.094932e-08 1.483619e-08 1.952897e-06 2.459688e+00 1.619240e-05 4.785875e-06
1.000000e+07 1.584893e+07 -5.072502e-08 1.483619e-08 1.951135e-06 2.459688e+00 1.619240e-05 4.786095e-06
1.000000e+07 2.511886e+07 -5.040458e-08 1.483619e-08 1.948411e-06 2.459461e+00 1.619240e-05 4.785654e-06
1.000000e+07 3.981072e+07 -4.997199e-08 1.483619e-08 1.946008e-06 2.458952e+00 1.618868e-05 4.784552e-06
1.000000e+07 6.309573e+07 -4.939521e-08 1.483619e-08 1.944566e-06 2.458272e+00 1.618122e-05 4.783010e-06
1.000000e+07 1.000000e+08 -4.864218e-08 1.483619e-08 1.943765e-06 2.457989e+00 1.617750e-05 4.780368e-06
1.000000e+07 1.122018e+08 -4.841788e-08 1.483619e-08 1.943605e-06 2.458442e+00 1.618122e-05 4.778937e-06
1.000000e+07 1.258925e+08 -4.817755e-08 1.483619e-08 1.943444e-06 2.459405e+00 1.619240e-05 4.776737e-06
1.000000e+07 1.412538e+08 -4.792120e-08 1.483619e-08 1.943284e-06 2.461218e+00 1.620732e-05 4.773108e-06
1.000000e+07 1.584893e+08 -4.764883e-08 1.483619e-08 1.942964e-06 2.464280e+00 1.623347e-05 4.767726e-06
1.000000e+07 1.778279e+08 -4.736044e-08 1.483619e-08 1.942803e-06 2.469051e+00 1.627464e-05 4.759829e-06
1.000000e+07 1.995262e+08 -4.705603e-08 1.483619e-08 1.942483e-06 2.475825e+00 1.633094e-05 4.748772e-06
1.000000e+07 2.238721e+08 -4.671957e-08 1.483619e-08 1.942163e-06 2.485021e+00 1.641010e-05 4.734360e-06
1.000000e+07 2.511886e+08 -4.636709e-08 1.483619e-08 1.941682e-06 2.496778e+00 1.650864e-05 4.715973e-06
1.000000e+07 2.818383e+08 -4.599859e-08 1.483619e-08 1.941201e-06 2.511077e+00 1.663073e-05 4.693873e-06
1.000000e+07 3.162278e+08 -4.559804e-08 1.483619e-08 1.940400e-06 2.527842e+00 1.677302e-05 4.668112e-06
1.000000e+07 3.548134e+08 -4.518148e-08 1.483619e-08 1.939439e-06 2.546713e+00 1.693602e-05 4.639288e-06
1.000000e+07 3.981072e+08 -4.473287e-08 1.483619e-08 1.938317e-06 2.567261e+00 1.710848e-05 4.607882e-06
1.000000e+07 4.466836e+08 -4.426823e-08 1.483619e-08 1.936875e-06 2.588928e+00 1.729463e-05 4.574686e-06
1.000000e+07 5.011872e+08 -4.377156e-08 1.483619e-08 1.934953e-06 2.611319e+00 1.748281e-05 4.540475e-06
1.000000e+07 5.623413e+08 -4.325886e-08 1.483619e-08 1.932710e-06 2.633783e+00 1.767711e-05 4.506105e-06
1.000000e+07 6.309573e+08 -4.269810e-08 1.483619e-08 1.929826e-06 2.656012e+00 1.786534e-05 4.471995e-06
1.000000e+07 7.079458e+08 -4.212131e-08 1.483619e-08 1.926141e-06 2.677565e+00 1.804726e-05 4.438961e-06
1.000000e+07 7.943282e+08 -4.151248e-08 1.483619e-08 1.921655e-06 2.698236e+00 1.822684e-05 4.407084e-06
1.000000e+07 8.912509e+08 -4.088763e-08 1.483619e-08 1.915727e-06 2.717753e+00 1.839125e-05 4.376947e-06
1.000000e+07 1.000000e+09 -4.021472e-08 1.483619e-08 1.908357e-06 2.736088e+00 1.854861e-05 4.348618e-06
1.000000e+07 1.122018e+09 -3.952578e-08 1.483619e-08 1.899224e-06 2.753024e+00 1.869439e-05 4.322364e-06
1.000000e+07 1.258925e+09 -3.878878e-08 1.483619e-08 1.887528e-06 2.768662e+00 1.882831e-05 4.298048e-06
1.000000e+07 1.412538e+09 -3.803575e-08 1.483619e-08 1.872948e-06 2.783044e+00 1.895009e-05 4.275740e-06
1.000000e+07 1.584893e+09 -3.725068e-08 1.483619e-08 1.854363e-06 2.796147e+00 1.906388e-05 4.255409e-06
1.000000e+07 1.778279e+09 -3.643357e-08 1.483619e-08 1.830971e-06 2.808083e+00 1.916952e-05 4.237125e-06
1.000000e+07 1.995262e+09 -3.560044e-08 1.483619e-08 1.801491e-06 2.818902e+00 1.926244e-05 4.220669e-06
1.000000e+07 2.238721e+09 -3.473526e-08 1.483619e-08 1.764481e-06 2.828851e+00 1.935135e-05 4.206020e-06
1.000000e+07 2.511886e+09 -3.383804e-08 1.483619e-08 1.717857e-06 2.838050e+00 1.943620e-05 4.193159e-06
1.000000e+07 2.818383e+09 -3.588883e-08 1.483619e-08 1.659218e-06 2.849902e+00 1.953940e-05 4.187370e-06
1.000000e+07 3.162278e+09 -3.196349e-08 1.483619e-08 1.586318e-06 2.855420e+00 1.959347e-05 4.172452e-06
1.000000e+07 3.548134e+09 -3.098616e-08 1.483619e-08 1.495635e-06 2.864310e+00 1.967938e-05 4.164485e-06
1.000000e+07 3.981072e+09 -2.996077e-08 1.483619e-08 1.384924e-06 2.874154e+00 1.977476e-05 4.157778e-06
1.000000e+07 4.466836e+09 -2.891935e-08 1.483619e-08 1.252424e-06 2.885360e+00 1.987977e-05 4.152229e-06

1.000000e+08 1.000000e+07 -1.103421e-07 3.066573e-08 3.888170e-06 2.181976e+00 1.332789e-05 4.074378e-06
1.000000e+08 1.584893e+07 -1.100377e-07 3.066573e-08 3.888651e-06 2.181725e+00 1.332635e-05 4.073909e-06
1.000000e+08 2.511886e+07 -1.096212e-07 3.066573e-08 3.889292e-06 2.181624e+00 1.332605e-05 4.073721e-06
1.000000e+08 3.981072e+07 -1.090604e-07 3.066573e-08 3.889773e-06 2.181624e+00 1.332697e-05 4.073909e-06
1.000000e+08 6.309573e+07 -1.083074e-07 3.066573e-08 3.889773e-06 2.181675e+00 1.332850e-05 4.074190e-06
1.000000e+08 1.000000e+08 -1.072820e-07 3.066573e-08 3.889452e-06 2.181825e+00 1.333096e-05 4.072877e-06
1.000000e+08 1.122018e+08 -1.069776e-07 3.066573e-08 3.889292e-06 2.182227e+00 1.333464e-05 4.071658e-06
1.000000e+08 1.258925e+08 -1.066571e-07 3.066573e-08 3.889292e-06 2.183182e+00 1.334232e-05 4.069690e-06
