!21f -> 21ne, beta-decay
!Q=-0.047 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -6.091290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -6.091290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -6.091290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -80.867000       -6.091290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -49.177000       -6.091290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -35.367000       -6.090290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -24.419000       -6.087290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -18.834994       -6.085290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -13.090752       -6.084290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -8.200636       -6.083290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -3.965074       -5.762290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.321694       -3.072290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.241496        0.551710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -6.091290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -6.091290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -6.091290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -79.867000       -6.091290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -48.764000       -6.091290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -35.345000       -6.090290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -24.418000       -6.087290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -18.834994       -6.085290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -13.090752       -6.084290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -8.200636       -6.083290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -3.965074       -5.762290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.321694       -3.072290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.241496        0.551710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -6.091290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -6.091290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -6.091290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -78.864000       -6.091290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -47.815000       -6.091290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -35.139000       -6.090290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -24.403000       -6.087290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -18.831994       -6.085290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -13.089753       -6.084290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -8.200636       -6.083290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -3.965074       -5.762290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        0.321694       -3.072290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.241496        0.551710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -6.091290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -6.091290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -6.091290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -77.847000       -6.091290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -46.809000       -6.091290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -34.317000       -6.090290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -24.261000       -6.087290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -18.799995       -6.085290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -13.084756       -6.084290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -8.199642       -6.083290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -3.965074       -5.762290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        0.321694       -3.072290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.241496        0.551710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -6.092290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -6.092290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -6.092290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -76.678000       -6.092290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -45.742000       -6.091290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -33.286000       -6.090290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -23.528000       -6.088290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -18.511997       -6.086290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -13.030784       -6.084290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -8.191685       -6.084290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -3.964074       -5.763290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        0.321694       -3.072290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.241496        0.551710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970       -6.096290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970       -6.096290             -100.00  
