!22na -> 22ne, e- capture
!Q=-5.184 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -8.112471     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -8.112822     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -8.112862      -85.615290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -8.101890      -48.059290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -6.466986      -31.720290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -5.158918      -25.100290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -4.126940      -19.440290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -3.609132      -16.422290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -3.078095      -13.156290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -2.496317      -10.139290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -1.347194       -7.112290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.238290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.488710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -8.107973     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -8.111222     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -8.111622      -86.616290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -8.100898      -49.059290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -6.466964      -32.132290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -5.158913      -25.122290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -4.126935      -19.441290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -3.609132      -16.422290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -3.078095      -13.156290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -2.496317      -10.139290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -1.347194       -7.112290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.238290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.488710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -8.074421     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -8.095737     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -8.099479      -87.622290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -8.091103      -50.061290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -6.466685      -33.075290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -5.158861      -25.327290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -4.126900      -19.456290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -3.609098      -16.425290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -3.078028      -13.157290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -2.495967      -10.139290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -1.347194       -7.112290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.238290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.488710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -7.953243     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -7.978213     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -7.997226      -88.676290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -8.004275      -51.075290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -6.463865      -34.032290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -5.158085      -26.139290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -4.126479      -19.597290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -3.608738      -16.457290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -3.077693      -13.162290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -2.495967      -10.140290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -1.346328       -7.112290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.454234       -3.238290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.488710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -7.550159     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -7.553061     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -7.559563      -90.183290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -7.575599      -52.196290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -6.437161      -34.767290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -5.150081      -27.075290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -4.119132      -20.324290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -3.603960      -16.744290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -3.073061      -13.215290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -2.493151      -10.148290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -1.346328       -7.113290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.455182       -3.238290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.488710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -6.756458     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -6.755502     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -6.753589      -94.355290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -6.751192      -53.511290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -6.241897      -35.327290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -5.079657      -27.889290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -4.055616      -21.404290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -3.541007      -17.699290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -3.021381      -13.655290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -2.462297      -10.230290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -1.338395       -7.121290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        1.455234       -3.238290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.700177        0.488710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -5.526872     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00       -5.523880     -105.794290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00       -5.514903     -104.393290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00       -5.478964      -58.438290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00       -5.310596      -38.419290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00       -4.607723      -30.165290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00       -3.654553      -23.109290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00       -3.143201      -19.173290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00       -2.622890      -14.827290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -2.152296      -10.826290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -1.263828       -7.201290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        1.458078       -3.241290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.700177        0.487710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00       -2.936997     -105.794290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00       -2.936997     -105.794290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00       -2.936997     -105.794290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00       -2.932997      -73.104290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00       -2.921876      -46.367290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00       -2.833941      -35.355290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00       -2.469341      -26.380290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00       -2.088812      -21.661290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00       -1.624363      -16.667290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -1.203823      -12.182290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -0.705230       -7.738290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        1.487721       -3.271290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.701177        0.487710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00       -0.655000     -105.794290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00       -0.655000     -105.794290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00       -0.655000     -105.794290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00       -0.654000     -105.794290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00       -0.653999      -64.551290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00       -0.642987      -47.732290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00       -0.574878      -34.433290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00       -0.446704      -27.556290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00       -0.189471      -20.620290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00        0.121705      -14.454290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00        0.482962       -8.555290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        1.764071       -3.547290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        4.709175        0.478710             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00        1.630000     -105.794290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00        1.630000     -105.794290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00        1.630000     -105.794290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00        1.630000     -105.794290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00        1.632000     -105.285290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00        1.633000      -75.532290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00        1.646001      -52.318290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00        1.671002      -40.473290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00        1.742006      -28.525290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00        1.869013      -18.618290             -100.00  
