!25al -> 25mg, e- capture
!Q=-8.9129 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.971997     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.971999     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.971999     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.972000      -62.068290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.971998      -38.210290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.971964      -29.376290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.973479      -22.302290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.974614      -18.602290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.972197      -14.666290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.902486      -11.130290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.300276       -7.752290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.135825       -3.396290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.033194        0.523710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.971976     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.971992     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.971994     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.971995      -63.068290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.971995      -38.623290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.971962      -29.398290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.973478      -22.304290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.974609      -18.602290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.972197      -14.666290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.902486      -11.130290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -0.300276       -7.752290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.135825       -3.396290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.033194        0.523710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.971805     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.971917     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00       -0.971937     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00       -0.971950      -64.071290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00       -0.971957      -39.571290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00       -0.971939      -29.604290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00       -0.973461      -22.318290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00       -0.974592      -18.605290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -0.972163      -14.666290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -0.902486      -11.130290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -0.300276       -7.752290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.135825       -3.396290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.033194        0.523710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00       -0.971083     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00       -0.971265     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00       -0.971395     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00       -0.971508      -65.089290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00       -0.971572      -40.577290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00       -0.971596      -30.426290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00       -0.973255      -22.460290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00       -0.974415      -18.637290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -0.971994      -14.672290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -0.902486      -11.131290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -0.300276       -7.753290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.135825       -3.396290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.033194        0.523710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00       -0.966869     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00       -0.966939     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00       -0.967076     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00       -0.967497      -66.257290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00       -0.967853      -41.644290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00       -0.968057      -31.457290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00       -0.970120      -23.194290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00       -0.972065      -18.925290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -0.970122      -14.725290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -0.900777      -11.140290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -0.299541       -7.753290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.135825       -3.396290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.033194        0.523710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00       -0.935812     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00       -0.935812     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00       -0.935732     -105.794290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00       -0.935892      -68.530290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00       -0.935972      -43.194290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00       -0.936051      -32.760290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00       -0.937892      -24.332290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00       -0.940410      -19.892290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00       -0.943222      -15.168290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -0.881018      -11.222290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -0.293643       -7.762290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.135825       -3.397290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.033194        0.523710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00       -0.700865     -105.794290             -100.00  
