!27si -> 27p, beta-decay
!Q=-12.3853 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.454000     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.454000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.454000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.454000     -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.454000      -91.103290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.454005      -66.394290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.454069      -46.980290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.456308      -37.113290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.469770      -27.007290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.537040      -18.475290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.726557      -11.303290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.468748       -4.889290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.337568       -0.048290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.454004     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.454001     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.454001     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.454001     -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.454001      -91.516290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.454005      -66.415290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.454069      -46.981290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.456309      -37.113290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.469770      -27.007290             -100.00  
