!28mg -> 28al, beta-decay
!Q=-15.0164 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970      -11.266290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970      -11.266290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -58.330000      -11.266290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -34.834000      -11.266290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -23.939000      -11.266290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -18.414000      -11.250290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -13.845000      -10.902290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -11.398998      -10.072290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -8.691625       -8.926290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -6.005594       -7.645290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -2.887552       -5.174290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.411216       -2.425290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.774786        0.769710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970      -11.267290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970      -11.267290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -57.330000      -11.266290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -33.834000      -11.266290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -23.526000      -11.266290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -18.393000      -11.251290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -13.844000      -10.903290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -11.398998      -10.072290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -8.691625       -8.926290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -6.005594       -7.645290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -2.887552       -5.174290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.411216       -2.425290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.774786        0.769710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970      -11.271290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970      -11.268290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -56.324000      -11.268290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -32.831000      -11.267290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -22.578000      -11.267290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -18.186000      -11.257290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -13.829000      -10.907290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -11.395998      -10.073290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00       -8.691625       -8.926290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -6.005594       -7.645290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -2.887552       -5.174290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.411216       -2.425290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.774786        0.769710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970      -11.287290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970      -11.282290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -55.275000      -11.278290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -31.813000      -11.275290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -21.572000      -11.272290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -17.365000      -11.268290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -13.688000      -10.948290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -11.363998      -10.082290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00       -8.685631       -8.927290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -6.004613       -7.645290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -2.887552       -5.174290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.411216       -2.425290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.774786        0.769710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970      -11.372290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.305669      -11.370290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -53.768000      -11.362290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -30.643000      -11.343290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -20.505000      -11.322290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -16.334000      -11.306290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -12.955000      -11.062290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -11.075999      -10.151290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00       -8.632672       -8.939290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -5.996765       -7.648290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -2.886552       -5.174290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.411216       -2.425290             -100.00  
