!29p -> 29s, beta-decay
!Q=-16.9493 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.674000     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.674000     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.674000     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.674000     -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.674000     -105.396290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.674006      -76.028290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.674080      -52.991290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.674359      -41.315290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.677137      -29.418290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        0.708148      -19.563290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498      -11.666290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -4.660290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.674004     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.674001     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.674001     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.674001     -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.674001     -105.794290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.674006      -76.049290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.674080      -52.993290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.674359      -41.316290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.677137      -29.418290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        0.708148      -19.563290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498      -11.666290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -4.660290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.674035     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.674015     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.674011     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.674008     -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.674007     -105.794290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.674010      -76.255290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.674083      -53.007290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.674361      -41.319290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00        0.677141      -29.418290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        0.708148      -19.563290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498      -11.666290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -4.660290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00        0.674162     -105.794290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00        0.674128     -105.794290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00        0.674103     -105.794290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00        0.674082     -105.794290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00        0.674069     -105.794290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00        0.674064      -77.077290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00        0.674114      -53.149290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00        0.674388      -41.351290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00        0.677166      -29.424290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00        0.708180      -19.564290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        1.320498      -11.666290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -4.660290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00        0.674866     -105.794290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00        0.674852     -105.794290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00        0.674823     -105.794290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00        0.674742     -105.794290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00        0.674667     -105.794290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00        0.674624      -78.109290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00        0.674596      -53.882290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00        0.674742      -41.639290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00        0.677441      -29.477290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00        0.708439      -19.572290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        1.320596      -11.667290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        3.063899       -4.660290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00        0.679873     -105.794290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00        0.679873     -105.794290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00        0.679886     -105.794290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00        0.679846     -105.794290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00        0.679793     -105.794290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00        0.679727      -79.412290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00        0.679649      -55.020290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00        0.679623      -42.606290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00        0.681333      -29.920290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00        0.712186      -19.655290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        1.321383      -11.676290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        3.064439       -4.660290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00        0.725274     -105.794290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00        0.725385     -105.794290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00        0.725385     -105.794290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00        0.725385     -105.794290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00        0.725497     -105.794290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00        0.725721      -82.075290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00        0.726172      -56.931290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00        0.726741      -44.172290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00        0.729247      -31.134290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00        0.753630      -20.267290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00        1.330365      -11.765290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        3.066062       -4.663290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        5.597252       -0.014290             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00        1.074289     -105.794290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00        1.074289     -105.794290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00        1.074289     -105.794290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00        1.074289     -105.794290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00        1.074892     -105.794290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00        1.075495      -88.305290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00        1.076703      -61.134290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00        1.078518      -47.378290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00        1.083774      -33.373290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00        1.100518      -21.772290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00        1.454768      -12.416290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        3.082902       -4.694290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        5.598247       -0.015290             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00        2.073657     -105.794290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00        2.073657     -105.794290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00        2.073657     -105.794290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00        2.073657     -105.794290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00        2.072697     -105.794290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00        2.073657     -102.114290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00        2.075578      -70.367290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00        2.075578      -54.321290             -100.00  
