!31al -> 31si, beta-decay
!Q=-15.1 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970       -5.324290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970       -5.324290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970       -5.324290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -64.499000       -5.324290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -46.022000       -5.324290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -31.436000       -5.324290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -24.025000       -5.323290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -16.443987       -5.284290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -9.955241       -4.799290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -4.109681       -3.824290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.074481       -2.006290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.556788        1.055710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970       -5.324290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970       -5.324290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970       -5.324290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -64.086000       -5.324290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -46.000000       -5.324290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -31.434000       -5.324290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -24.025000       -5.323290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -16.443987       -5.284290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -9.955241       -4.799290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -4.109681       -3.824290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        1.074481       -2.006290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.556788        1.055710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970       -5.324290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970       -5.324290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -63.137000       -5.324290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00      -45.794000       -5.324290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00      -31.420000       -5.324290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00      -24.022000       -5.323290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00      -16.443987       -5.284290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00       -9.955241       -4.799290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00       -4.109681       -3.824290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        1.074481       -2.006290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        4.556788        1.055710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00      -99.697970       -5.324290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00      -99.697970       -5.324290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00      -62.131000       -5.324290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00      -44.972000       -5.324290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00      -31.278000       -5.324290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00      -23.990000       -5.323290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00      -16.437987       -5.284290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00       -9.954242       -4.799290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00       -4.109681       -3.824290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        1.074481       -2.006290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        4.556788        1.055710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00      -99.697970       -5.324290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00      -61.064000       -5.324290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00      -43.941000       -5.324290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00      -30.544000       -5.324290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00      -23.702000       -5.323290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00      -16.384988       -5.284290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00       -9.946255       -4.800290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00       -4.108684       -3.824290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        1.074481       -2.006290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        4.556788        1.055710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00      -99.697970       -5.326290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00      -99.697970       -5.326290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00      -99.697970       -5.326290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00      -99.697970       -5.326290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00      -59.515000       -5.326290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00      -42.638000       -5.326290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00      -29.406000       -5.326290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00      -22.735000       -5.325290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00      -15.941996       -5.286290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00       -9.863383       -4.801290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00       -4.099708       -3.825290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        1.075475       -2.006290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        4.556788        1.055710             -100.00  
       7.000000        7.000000    1.139148e-06            0.00            0.00      -99.697970       -5.345290             -100.00  
       7.000000        8.000000    1.139148e-06            0.00            0.00      -99.697970       -5.344290             -100.00  
       7.000000        8.301030    1.139148e-06            0.00            0.00      -99.697970       -5.344290             -100.00  
       7.000000        8.602060    1.134341e-06            0.00            0.00      -95.073995       -5.344290             -100.00  
       7.000000        8.845098    1.123126e-06            0.00            0.00      -55.832000       -5.344290             -100.00  
       7.000000        9.000000    1.103900e-06            0.00            0.00      -39.975000       -5.344290             -100.00  
       7.000000        9.176091    1.060641e-06            0.00            0.00      -27.496000       -5.343290             -100.00  
       7.000000        9.301030    9.965539e-07            0.00            0.00      -21.169000       -5.342290             -100.00  
       7.000000        9.477121    8.171101e-07            0.00            0.00      -14.728000       -5.301290             -100.00  
       7.000000        9.698970    2.996070e-07            0.00            0.00       -9.251847       -4.810290             -100.00  
       7.000000       10.000000   -5.046856e-07            0.00            0.00       -4.010928       -3.832290             -100.00  
       7.000000       10.477121   -7.850666e-07            0.00            0.00        1.078458       -2.009290             -100.00  
       7.000000       11.000000   -8.155079e-07            0.00            0.00        4.556788        1.055710             -100.00  
       8.000000        7.000000    3.101814e-06            0.00            0.00      -99.697970       -5.469290             -100.00  
       8.000000        8.000000    3.101814e-06            0.00            0.00      -99.697970       -5.469290             -100.00  
       8.000000        8.301030    3.100212e-06            0.00            0.00      -99.697970       -5.468290             -100.00  
       8.000000        8.602060    3.098610e-06            0.00            0.00      -79.628000       -5.466290             -100.00  
       8.000000        8.845098    3.093803e-06            0.00            0.00      -46.977000       -5.466290             -100.00  
       8.000000        9.000000    3.084190e-06            0.00            0.00      -33.745000       -5.465290             -100.00  
       8.000000        9.176091    3.064964e-06            0.00            0.00      -23.293000       -5.464290             -100.00  
       8.000000        9.301030    3.036125e-06            0.00            0.00      -17.963000       -5.461290             -100.00  
       8.000000        9.477121    2.954414e-06            0.00            0.00      -12.488000       -5.410290             -100.00  
       8.000000        9.698970    2.693259e-06            0.00            0.00       -7.745995       -4.876290             -100.00  
       8.000000       10.000000    1.573337e-06            0.00            0.00       -3.358744       -3.885290             -100.00  
       8.000000       10.477121   -4.838573e-07            0.00            0.00        1.109294       -2.036290             -100.00  
       8.000000       11.000000   -7.882709e-07            0.00            0.00        4.557786        1.055710             -100.00  
       9.000000        7.000000    7.483767e-06            0.00            0.00      -99.697970       -6.244290             -100.00  
       9.000000        8.000000    7.483767e-06            0.00            0.00      -99.697970       -6.243290             -100.00  
       9.000000        8.301030    7.483767e-06            0.00            0.00      -86.150000       -6.239290             -100.00  
       9.000000        8.602060    7.483767e-06            0.00            0.00      -45.196000       -6.236290             -100.00  
       9.000000        8.845098    7.474154e-06            0.00            0.00      -27.332000       -6.231290             -100.00  
       9.000000        9.000000    7.474154e-06            0.00            0.00      -19.982000       -6.229290             -100.00  
       9.000000        9.176091    7.466143e-06            0.00            0.00      -14.107000       -6.222290             -100.00  
       9.000000        9.301030    7.450121e-06            0.00            0.00      -11.034000       -6.210290             -100.00  
       9.000000        9.477121    7.410067e-06            0.00            0.00       -7.837000       -6.084290             -100.00  
       9.000000        9.698970    7.291506e-06            0.00            0.00       -4.862000       -5.301290             -100.00  
       9.000000       10.000000    6.724335e-06            0.00            0.00       -1.751994       -4.193290             -100.00  
       9.000000       10.477121    2.340780e-06            0.00            0.00        1.404189       -2.289290             -100.00  
       9.000000       11.000000   -5.191052e-07            0.00            0.00        4.566773        1.046710             -100.00  
      10.000000        7.000000    1.699589e-05            0.00            0.00        0.155000     -105.794290             -100.00  
      10.000000        8.000000    1.699589e-05            0.00            0.00        0.155000     -105.794290             -100.00  
      10.000000        8.301030    1.699589e-05            0.00            0.00        0.156000      -81.058290             -100.00  
      10.000000        8.602060    1.699589e-05            0.00            0.00        0.161000      -45.088290             -100.00  
      10.000000        8.845098    1.699589e-05            0.00            0.00        0.173000      -29.223290             -100.00  
      10.000000        9.000000    1.698788e-05            0.00            0.00        0.185000      -22.625290             -100.00  
      10.000000        9.176091    1.698788e-05            0.00            0.00        0.229000      -17.308290             -100.00  
      10.000000        9.301030    1.697987e-05            0.00            0.00        0.278000      -14.495290             -100.00  
      10.000000        9.477121    1.696385e-05            0.00            0.00        0.402000      -11.489290             -100.00  
      10.000000        9.698970    1.690617e-05            0.00            0.00        0.690000       -8.777290             -100.00  
      10.000000       10.000000    1.664501e-05            0.00            0.00        1.295000       -6.231290             -100.00  
      10.000000       10.477121    1.386043e-05            0.00            0.00        2.589080       -3.315290             -100.00  
      10.000000       11.000000    2.164541e-06            0.00            0.00        4.648669        0.963710             -100.00  
      11.000000        7.000000    3.752137e-05            0.00            0.00        4.271000     -105.794290             -100.00  
      11.000000        8.000000    3.752939e-05            0.00            0.00        4.272000     -105.794290             -100.00  
      11.000000        8.301030    3.752137e-05            0.00            0.00        4.271000     -105.794290             -100.00  
      11.000000        8.602060    3.752137e-05            0.00            0.00        4.271000     -105.794290             -100.00  
      11.000000        8.845098    3.752939e-05            0.00            0.00        4.272000     -105.794290             -100.00  
      11.000000        9.000000    3.752137e-05            0.00            0.00        4.271000      -87.217290             -100.00  
      11.000000        9.176091    3.752137e-05            0.00            0.00        4.272000      -60.369290             -100.00  
      11.000000        9.301030    3.752137e-05            0.00            0.00        4.272000      -46.803290             -100.00  
      11.000000        9.477121    3.751336e-05            0.00            0.00        4.273000      -33.035290             -100.00  
      11.000000        9.698970    3.748933e-05            0.00            0.00        4.277000      -21.720290             -100.00  
      11.000000       10.000000    3.736596e-05            0.00            0.00        4.292000      -12.730290             -100.00  
      11.000000       10.477121    3.605538e-05            0.00            0.00        4.442001       -5.586290             -100.00  
      11.000000       11.000000    2.244970e-05            0.00            0.00        5.260195        0.331710             -100.00  
